N	3gram	Ircho_Kome	Istorich
1	и т д	4	142
2	с другой стороны	6	46
3	до сих пор	3	30
4	с одной стороны	5	28
5	в том что	13	25
6	тем не менее	2	23
7	вместе с тем	4	23
8	о том что	6	22
9	в связи с	3	17
10	после того как	3	15
11	по отношению к	5	14
12	на то что	2	14
13	в то время	8	13
14	то время как	6	13
15	но и в	2	12
16	т е в	2	11
17	как и в	2	10
18	можно было бы	3	10
19	что и в	2	10
20	то же самое	2	8
21	что у него	3	8
22	во всяком случае	4	7
23	что он не	2	7
24	в большинстве случаев	2	7
25	с самого начала	2	6
26	к тому же	12	6
27	для того чтобы	3	5
28	в том числе	4	5
29	то что он	2	5
30	в отличие от	3	5
31	в это время	3	4
32	не означает что	2	4
33	так или иначе	4	4
34	независимо от того	3	4
35	бы то ни	4	3
36	то ни было	4	3
37	не в состоянии	3	3
38	в одном из	4	3
39	в соответствии с	2	3
40	за то что	4	3
41	таким образом в	2	3
42	в обоих случаях	3	3
43	и тем что	2	3
44	к тому что	3	3
45	между небом и	2	2
46	небом и землей	2	2
47	друг от друга	2	2
48	для этой цели	2	2
49	несмотря на всю	3	2
50	одна из них	2	2
51	том что он	4	2
52	видеть в нем	2	2
53	и т п	7	2
54	в частности в	2	2
55	только потому что	2	2
56	и таким образом	2	2
57	в тех же	3	2
58	обращает на себя	4	2
