N	2gram	Propp_Isto	Formalny
1	и в	43	95
2	т е	36	94
3	и не	16	78
4	может быть	22	66
5	в этом	25	61
6	не может	8	57
7	и пр	19	53
8	вовсе не	3	53
9	таким образом	15	52
10	и его	10	51
11	так и	6	50
12	точки зрения	3	47
13	в нем	11	42
14	в его	7	42
15	прежде всего	3	41
16	как и	9	39
17	и т	33	37
18	не в	9	35
19	а не	13	34
20	но и	24	33
21	то же	11	32
22	не только	28	30
23	в пределах	5	28
24	в том	13	26
25	если бы	7	26
26	то что	20	25
27	на самом	2	24
28	при этом	4	24
29	в своей	4	24
30	в ней	3	23
31	связи с	9	23
32	было бы	5	23
33	в то	2	22
34	и ее	3	22
35	как бы	5	21
36	что в	29	21
37	и с	10	21
38	не менее	6	20
39	и от	3	20
40	с тем	3	20
41	как мы	11	20
42	все это	4	19
43	хотя бы	3	19
44	т д	30	19
45	по себе	3	19
46	все же	13	18
47	и все	4	18
48	все эти	8	18
49	в связи	5	18
50	должна быть	2	18
51	и их	4	18
52	только в	8	18
53	как в	6	17
54	так же	16	16
55	во всяком	2	16
56	совершенно не	2	16
57	с другой	10	16
58	потому что	8	16
59	всяком случае	2	16
60	его в	7	15
61	все время	2	15
62	но в	15	15
63	так как	13	15
64	и на	7	15
65	что он	17	14
66	только на	2	14
67	в целом	4	14
68	в своем	2	14
69	еще не	15	14
70	в жизни	3	14
71	в этой	7	14
72	и потому	2	14
73	жизни и	2	14
74	вместе с	12	14
75	со стороны	3	13
76	того что	8	13
77	а в	13	13
78	что же	2	13
79	могут быть	9	13
80	для них	3	13
81	что и	17	13
82	независимо от	3	13
83	она не	4	13
84	тем что	8	13
85	ни в	2	13
86	как таковой	3	13
87	по отношению	2	12
88	как это	5	12
89	там где	8	12
90	и здесь	8	12
91	к тому	9	12
92	отношению к	2	12
93	и для	3	12
94	уже не	11	12
95	никогда не	9	11
96	это и	4	11
97	они не	4	11
98	в большинстве	2	11
99	но не	10	11
100	что они	14	11
101	между тем	2	11
102	не есть	3	10
103	друг друга	6	10
104	здесь и	2	10
105	и др	4	10
106	мы не	3	10
107	не было	2	10
108	в дальнейшем	8	10
109	по существу	3	10
110	мы видели	18	10
111	другой стороны	10	10
112	с ее	2	10
113	и как	6	10
114	главным образом	3	10
115	большинстве случаев	3	10
116	конечно не	3	10
117	он не	11	10
118	если же	2	10
119	быть и	3	9
120	ничего не	12	9
121	здесь не	6	9
122	но это	5	9
123	и даже	4	9
124	у нас	7	9
125	еще более	3	9
126	в свою	5	9
127	мы знаем	11	9
128	это не	10	8
129	в других	6	8
130	между собой	2	8
131	до сих	7	8
132	одной стороны	2	8
133	в них	6	8
134	с одной	2	8
135	же как	8	8
136	что это	4	8
137	с этим	13	8
138	в данном	7	8
139	всех этих	3	8
140	сих пор	7	8
141	и к	4	8
142	роль в	2	8
143	в сторону	3	8
144	не следует	2	8
145	ясно что	2	8
146	вот как	2	7
147	том что	12	7
