N	2gram	Tiupa_Narr	TeoriaLi
1	в качестве	27	33
2	в мире	8	26
3	не только	50	24
4	и в	22	24
5	в частности	23	23
6	то есть	15	22
7	состоит в	19	22
8	может быть	24	22
9	в том	20	20
10	при этом	31	20
11	в тексте	17	19
12	я в	7	18
13	тогда как	23	18
14	и не	34	17
15	а в	19	15
16	но и	39	14
17	так и	12	14
18	а не	27	14
19	в себе	14	14
20	в рамках	6	13
21	такого рода	17	13
22	но не	7	13
23	внутренней речи	3	13
24	представляет собой	21	13
25	в этом	23	12
26	то же	12	12
27	но в	10	12
28	сводится к	10	12
29	в его	12	12
30	том что	15	11
31	внутреннего зрения	2	11
32	точки зрения	8	11
33	своего рода	17	11
34	и его	12	11
35	по отношению	5	10
36	лишь в	3	10
37	отношению к	5	10
38	как это	7	10
39	коммуникативного события	9	10
40	что в	6	10
41	в данном	17	9
42	не сводится	8	9
43	не в	12	9
44	в душе	3	9
45	с другой	6	9
46	в то	9	9
47	только в	23	9
48	всего лишь	8	8
49	не может	16	8
50	по своей	3	8
51	как бы	11	8
52	присутствия в	3	8
53	в своей	8	8
54	же время	7	8
55	или иной	6	7
56	в своем	7	7
57	а также	11	7
58	мы имеем	6	7
59	себя в	4	7
60	отношение к	2	7
61	присутствия я	2	7
62	в принципе	6	7
63	во второй	2	7
64	в области	4	7
65	отличие от	6	7
66	художественного письма	4	7
67	в самом	8	7
68	в отличие	6	7
69	однако в	4	7
70	место в	3	7
71	не столько	2	7
72	и т.п	11	7
73	в нем	9	7
74	тем самым	9	6
75	или иного	3	6
76	того или	3	6
77	другой стороны	2	6
78	в первой	3	6
79	конечном счете	4	6
80	в конечном	6	6
81	со стороны	14	6
82	не менее	6	6
83	героя и	4	6
84	еще не	6	6
85	то что	14	6
86	или менее	2	6
87	как и	15	6
88	более или	2	6
89	в русской	3	6
90	или иначе	2	6
91	уже не	11	6
92	приводит к	2	6
93	между ними	3	6
94	в состав	5	6
95	в ее	4	6
96	с его	6	6
97	данном случае	12	5
98	мыслится как	2	5
99	как в	9	5
100	как правило	8	5
101	как к	3	5
102	иначе говоря	14	5
103	в виду	2	5
104	и тем	9	5
105	по сути	3	5
106	кто говорит	2	5
107	в ходе	4	5
108	не является	7	5
109	для того	4	5
110	и о	4	5
111	в пределах	2	5
112	для него	8	5
113	не случайно	2	5
114	за пределами	3	5
115	высказывания в	3	5
