N	3gram	Savitsky_E	Literetu
1	в то же	15	21
2	то же время	14	21
3	в том что	6	21
4	с одной стороны	8	12
5	в данном случае	2	11
6	не может быть	2	11
7	в этом отношении	3	10
8	с точки зрения	16	8
9	не говоря уже	2	8
10	с другой стороны	2	7
11	из того что	2	6
12	не только в	4	6
13	этой точки зрения	5	5
14	прежде всего в	2	5
15	с этой точки	5	5
16	и прежде всего	3	4
17	бы то ни	4	4
18	то ни было	4	4
19	во всяком случае	3	3
20	той или иной	4	3
21	только в том	2	3
22	на то что	2	3
23	одной стороны и	6	3
24	ту или иную	3	3
25	и в частности	2	3
26	в одном из	2	3
27	в свою очередь	2	3
28	для того чтобы	5	2
29	в отношении к	12	2
30	во второй половине	2	2
31	можно было бы	3	2
