N	2gram	Berdyaev_O	SlovoVZh
1	не может	4	16
2	может быть	11	14
3	и его	4	13
4	как бы	3	13
5	и в	19	12
6	и не	13	10
7	так как	2	9
8	прежде всего	9	8
9	сказать что	2	7
10	в том	5	6
11	в нем	10	6
12	никогда не	9	5
13	но в	2	5
14	том что	2	5
15	как и	6	5
16	хотя бы	3	5
17	а не	11	5
18	то что	5	5
19	в самом	5	4
20	в этом	12	4
21	не только	11	4
22	что не	4	4
23	его в	2	4
24	не в	11	4
25	все же	2	4
26	к нему	3	4
27	и к	2	4
28	так и	2	4
29	и на	2	4
30	отношение к	5	4
31	как к	2	3
32	по себе	2	3
33	о том	3	3
34	и для	2	3
35	все эти	4	3
36	в своей	2	3
37	в себе	3	3
38	еще не	3	3
39	все это	6	3
40	когда он	3	3
41	и ее	3	3
42	и с	2	3
43	в творчестве	5	3
44	с ним	3	3
45	того что	3	3
46	но и	13	3
47	для него	5	3
48	и то	2	2
49	в его	7	2
50	до конца	7	2
51	что в	4	2
52	в душе	2	2
53	не есть	2	2
54	ничего не	2	2
55	с его	4	2
56	что и	2	2
57	это не	3	2
58	и все	10	2
59	в своем	2	2
60	ко всем	2	2
61	уже в	2	2
62	в этих	3	2
63	он не	7	2
64	и потому	2	2
65	могут быть	3	2
66	нет ничего	7	2
67	к этому	2	2
