N	3gram	Voloshinov	Problema
1	о том что	2	39
2	по крайней мере	3	26
3	во всяком случае	3	25
4	с точки зрения	6	25
5	в этом смысле	3	19
6	до сих пор	3	14
7	на самом деле	4	13
8	не может быть	3	12
9	можно сказать что	3	12
10	и в этом	2	12
11	с самого начала	4	7
12	но отнюдь не	2	6
13	в самом деле	2	6
14	в чем не	3	5
15	так же как	2	5
16	ни в чем	3	5
17	и может быть	2	3
18	по сравнению с	3	3
19	на этой ступени	2	2
20	нам кажется что	2	2
21	нечего и говорить	2	2
22	друг на друга	2	2
23	может быть это	3	2
