N	3gram	Medvedev_V	VeschiIm
1	и т д	16	38
2	не может быть	8	24
3	по крайней мере	2	10
4	в том что	5	9
5	т е в	2	7
6	в то же	5	5
7	подобно тому как	3	5
8	не только в	2	5
9	в чем же	2	5
10	не только не	2	4
11	более или менее	6	4
12	этой точки зрения	2	4
13	о том как	3	4
14	о том что	3	4
15	от того что	2	4
16	то же время	5	4
17	это и есть	3	4
18	равно как и	4	4
19	можно сказать что	4	3
20	можно было бы	2	3
21	не может не	2	3
22	вместе с тем	4	3
23	с одной стороны	2	3
24	только то что	2	3
25	с другой стороны	8	3
26	и в то	3	3
27	мы видели что	3	3
28	во всяком случае	2	2
29	в этом и	2	2
30	хотя бы в	3	2
31	для того чтобы	3	2
32	в этом отношении	14	2
33	хотя бы и	5	2
34	к тому что	4	2
35	в связи с	4	2
36	в конце концов	2	2
37	действительности и ее	2	2
38	в том чтобы	2	2
