N	3gram	Propp_Isto	Formalny
1	не может быть	8	29
2	на самом деле	2	21
3	и т д	35	19
4	в связи с	5	16
5	по отношению к	6	12
6	бы то ни	2	10
7	в зависимости от	3	10
8	в большинстве случаев	4	9
9	с другой стороны	7	9
10	до сих пор	11	8
11	вместе с тем	7	8
12	с одной стороны	7	8
13	более или менее	5	7
14	то ни было	2	7
15	с тем что	3	6
16	в том что	6	6
17	мы не можем	3	5
18	в отличие от	3	5
19	с самого начала	4	4
20	тем не менее	7	4
21	подобно тому как	3	4
22	но и в	4	4
23	но все же	7	4
24	то же самое	3	3
25	и тот же	2	3
26	друг с другом	3	3
27	вместо того чтобы	2	3
28	потому что он	2	3
29	мы уже знаем	3	3
30	как мы увидим	2	3
31	обстоит дело с	2	3
32	уже знаем что	2	3
33	не только на	2	3
34	один и тот	2	3
35	мы увидим что	8	3
36	мы имеем в	4	2
37	иметь в виду	2	2
38	они никогда не	2	2
39	так же как	6	2
40	дело не в	2	2
41	как один из	2	2
42	по себе а	2	2
43	в это время	2	2
44	они должны были	3	2
45	на этот вопрос	2	2
46	не только в	5	2
47	мы видели что	3	2
48	о том как	2	2
49	т е с	2	2
50	со всех сторон	4	2
51	в этом случае	3	2
52	так же и	2	2
53	дело в том	3	2
