N	3gram	Bakhtin_Fr	Vladivir
1	в том что	4	29
2	о том что	4	22
3	дело в том	2	13
4	в связи с	2	12
5	более или менее	3	11
6	в конце концов	5	11
7	в то же	12	10
8	с точки зрения	4	10
9	то же время	12	9
10	у него в	2	9
11	а также и	3	8
12	на первый план	2	7
13	в свое время	2	7
14	как мы видели	4	6
15	с другой стороны	2	6
16	и в его	2	5
17	то что в	2	5
18	сам по себе	2	4
19	как мы уже	4	4
20	в этом отношении	3	4
21	можно было бы	2	4
22	с одной стороны	3	4
23	и в отношении	2	3
24	в том числе	4	3
25	начала и до	4	3
26	в самом деле	3	3
27	и до конца	4	3
28	с начала и	4	3
29	мы уже сказали	2	3
30	в свою очередь	3	3
31	свидетельствует о том	2	3
32	и прежде всего	2	2
33	за то что	4	2
34	после того как	6	2
35	так и в	3	2
36	но в то	3	2
37	то есть о	2	2
38	до сих пор	3	2
39	мы сейчас увидим	2	2
40	и с его	2	2
41	как мы увидим	2	2
42	а следовательно и	2	2
43	мы уже видели	2	2
44	что у него	2	2
