N	3gram	Voloshinov	Myshleni
1	в том что	2	133
2	с точки зрения	5	89
3	по отношению к	3	42
4	с одной стороны	2	39
5	с самого начала	2	36
6	с другой стороны	2	26
7	не может быть	4	23
8	в зависимости от	2	22
9	в самом деле	2	19
10	в данном случае	2	15
11	одно и то	3	12
12	и то же	2	12
13	зависимости от этого	2	7
14	ничего общего с	2	6
15	не что иное	2	6
16	что иное как	2	6
17	есть прежде всего	3	5
18	есть не что	2	4
19	слов и их	2	4
20	но так как	2	4
21	то же слово	2	4
22	и не является	2	3
23	не чем иным	2	3
24	того или иного	2	3
25	чем иным как	2	3
