N	2gram	Ircho_Kome	formyVre
1	и в	37	148
2	в этом	18	73
3	в нем	8	51
4	прежде всего	7	46
5	и т	5	40
6	и не	28	37
7	в его	12	36
8	и его	10	36
9	вовсе не	6	35
10	но и	18	33
11	то же	14	32
12	т п	5	32
13	не только	13	32
14	но в	7	31
15	так и	4	29
16	в греческом	2	29
17	времени в	2	27
18	может быть	14	27
19	не в	7	26
20	как мы	6	26
21	как и	10	25
22	как бы	7	25
23	точки зрения	8	24
24	в то	14	23
25	человека в	4	23
26	времени и	2	23
27	только в	3	23
28	то что	5	22
29	в том	24	22
30	связи с	5	21
31	во всех	4	21
32	же время	12	21
33	в своем	9	19
34	и для	7	19
35	и на	6	19
36	у него	10	18
37	и все	6	18
38	по существу	4	18
39	еще не	10	18
40	таким образом	16	18
41	человека и	2	17
42	с этим	5	17
43	при этом	11	17
44	так как	16	17
45	в пределах	3	17
46	все же	9	16
47	того же	9	16
48	и во	3	16
49	в связи	4	16
50	в основе	3	16
51	не может	9	16
52	никогда не	5	15
53	в них	6	15
54	в дальнейшем	5	15
55	в одном	3	15
56	с точки	6	15
57	с его	6	15
58	вместе с	16	15
59	так же	8	14
60	его жизни	2	14
61	все это	7	14
62	и как	3	14
63	в конце	14	14
64	и с	5	14
65	как раз	9	14
66	а не	5	14
67	роль в	3	13
68	в их	5	13
69	в частности	4	13
70	а в	12	13
71	с другом	3	13
72	здесь в	2	13
73	того чтобы	9	13
74	же в	3	13
75	во время	8	13
76	друг с	3	13
77	для того	9	13
78	как в	4	13
79	в котором	6	13
80	в самом	17	13
81	с ним	10	13
82	ничего не	6	12
83	отнюдь не	5	12
84	в истории	2	12
85	не было	6	12
86	и до	2	12
87	конечно не	4	12
88	но не	9	12
89	потому что	19	12
90	это время	2	12
91	он не	11	12
92	что в	11	12
93	его в	9	11
94	и у	4	11
95	между ними	4	11
96	в образе	5	11
97	в ней	7	11
98	хотя и	6	11
99	ни в	14	11
100	из них	11	11
101	уже в	3	11
102	вещей и	2	10
103	здесь не	2	10
104	в ее	3	10
105	тот же	11	10
106	сих пор	12	10
107	до сих	12	10
108	могут быть	3	9
109	к себе	9	9
110	в других	4	9
111	наряду с	4	9
112	том что	22	9
113	и даже	6	9
114	и это	4	9
115	с другой	5	9
116	но все	5	9
117	их в	3	9
118	здесь нет	4	9
119	отношения к	2	9
120	до конца	4	8
121	это не	3	8
122	и потому	2	8
123	к тому	11	8
124	отношение к	7	8
125	все его	2	8
126	том числе	2	8
127	в целом	4	8
128	один из	6	8
129	что и	12	8
130	здесь и	3	8
131	во всяком	3	8
132	а также	3	8
133	время как	3	8
134	в результате	2	8
135	и по	3	8
136	если бы	18	8
137	в этих	2	8
138	со всеми	2	8
139	отношению к	4	8
140	с одной	5	8
141	в мире	2	8
142	и к	4	8
143	в виду	3	8
144	на фоне	2	8
145	в себе	4	7
146	не как	2	7
147	том же	2	7
148	отличие от	5	7
149	не знает	7	7
150	между собой	5	7
151	в той	2	7
152	было бы	7	7
153	себя и	2	7
154	например в	3	7
155	к этому	11	7
156	из этих	2	7
157	и он	5	7
