N	2gram	Tiupa_Disk	Sovremen
1	не может	17	17
2	точки зрения	6	12
3	может быть	29	12
4	таким образом	4	11
5	мы не	2	9
6	в каждом	2	8
7	и в	27	7
8	в этом	29	7
9	и не	25	6
10	как и	27	6
11	в результате	3	6
12	что же	4	5
13	с точки	3	5
14	все эти	2	5
15	и наконец	2	5
16	прежде всего	17	5
17	вопрос о	2	4
18	это не	5	4
19	не только	36	4
20	в том	29	4
21	как бы	9	4
22	их в	2	4
23	в целом	5	4
24	жизни и	2	4
25	вместе с	3	4
26	а в	5	4
27	из них	6	4
28	не подлежит	2	3
29	и т.д	5	3
30	и потому	3	3
31	но в	15	3
32	с самого	2	3
33	при этом	22	3
34	из двух	5	3
35	не в	8	3
36	все же	8	3
37	в области	3	3
38	уже в	2	3
39	в себе	22	3
40	еще не	20	3
41	и все	5	3
42	все это	2	3
43	в нем	16	3
44	между собой	2	3
45	а не	35	3
46	в первом	4	3
47	и к	4	3
48	в этой	5	3
49	то же	12	3
50	в одном	5	3
51	отличается от	3	3
52	самого начала	2	3
53	отнюдь не	11	3
54	принципиально не	2	2
55	но все	2	2
56	на его	4	2
57	и по	2	2
58	же самое	2	2
59	всяком случае	2	2
60	быть и	2	2
61	роль в	10	2
62	можно назвать	2	2
63	не менее	6	2
64	той же	2	2
65	не могут	2	2
66	в его	9	2
67	к чему	2	2
68	с этим	3	2
69	и что	2	2
70	во всяком	3	2
71	и во	2	2
72	в науке	2	2
73	такого рода	11	2
74	приводит к	4	2
75	свою очередь	3	2
76	из этих	3	2
77	тот или	2	2
78	так сказать	3	2
79	в самом	4	2
80	и есть	2	2
81	что в	8	2
82	времени и	5	2
83	в которой	2	2
84	самом деле	2	2
85	уже не	7	2
86	в свою	3	2
87	в нашем	2	2
88	могут быть	5	2
89	в отличие	13	2
90	отличие от	13	2
91	и пространства	2	2
92	с одной	12	2
93	на этом	3	2
94	как мы	2	2
95	говорить о	3	2
96	или иной	8	2
97	и даже	4	2
