N	2gram	Trubetskoy	Sotsiolo
1	все это	13	7
2	в том	31	5
3	в этом	13	5
4	для нас	3	3
5	не только	10	3
6	и только	2	3
7	в его	5	3
8	не в	9	3
9	и в	24	3
10	должна быть	6	2
11	отношению к	11	2
12	по отношению	11	2
13	еще не	6	2
14	только в	6	2
15	что в	9	2
16	тем более	3	2
17	в частности	2	2
18	том что	20	2
19	было бы	3	2
20	таким образом	34	2
21	то же	4	2
22	как будто	5	2
23	и что	9	2
24	конце концов	4	2
25	исторического развития	2	2
26	то что	18	2
27	как бы	10	2
28	но и	11	2
29	очевидно что	3	2
30	в конце	4	2
31	далеко не	5	2
32	может быть	17	2
33	по существу	7	2
34	в результате	9	2
