N	2gram	Propp_Morf	Narrotol
1	не только	8	62
2	и не	16	50
3	но и	9	45
4	а не	11	38
5	в качестве	8	35
6	в частности	2	31
7	может быть	61	30
8	и в	17	30
9	в том	10	29
10	том что	7	28
11	тогда как	2	28
12	в этом	18	28
13	а в	8	27
14	состоит в	3	25
15	представляет собой	17	25
16	только в	3	25
17	в данном	2	24
18	как и	4	24
19	не в	3	23
20	то что	10	23
21	не может	19	20
22	данном случае	2	17
23	так и	10	17
24	а также	7	17
25	со стороны	5	16
26	но в	4	15
27	можно сказать	2	15
28	к тому	5	15
29	и его	3	14
30	то же	10	13
31	у него	2	13
32	о том	6	13
33	уже не	4	13
34	перед нами	14	12
35	все же	9	12
36	прежде всего	14	12
37	как в	5	12
38	как бы	6	12
39	по отношению	7	11
40	к себе	2	11
41	и тем	3	11
42	героя в	5	11
43	об этом	5	11
44	в этой	3	11
45	если бы	3	11
46	отношению к	7	11
47	хотя и	5	11
48	в то	4	10
49	ничего не	5	10
50	как это	7	10
51	один из	7	10
52	точки зрения	7	10
53	того что	3	10
54	не является	4	10
55	но не	8	10
56	между тем	5	10
57	с его	3	10
58	еще не	4	9
59	что он	5	9
60	что в	10	9
61	тем не	7	9
62	для него	2	9
63	далеко не	5	9
64	потому что	7	9
65	самом деле	4	8
66	не менее	7	8
67	того чтобы	4	8
68	одна из	5	8
69	мы имеем	19	8
70	у нее	2	8
71	этом отношении	2	8
72	у нас	3	8
73	действующих лиц	22	8
74	и для	4	8
75	и к	4	8
76	он не	5	8
77	это не	6	7
78	вслед за	5	7
79	а во	3	7
80	в чем	2	7
81	в целом	5	7
82	же в	3	7
83	также и	6	7
84	с другой	9	7
85	или в	6	7
86	в форме	6	7
87	одной стороны	2	6
88	они не	3	6
89	во втором	7	6
90	ответ на	2	6
91	однако в	2	6
92	что и	10	6
93	представляют собой	16	6
94	например в	2	6
95	сказать что	4	6
96	то в	3	6
97	из этих	2	6
98	здесь не	3	6
99	в результате	8	6
100	на него	4	6
101	героя и	3	6
102	не по	2	6
103	с одной	2	6
104	в нашем	6	6
105	на то	3	6
106	таким образом	26	6
107	на самом	4	5
108	том как	2	5
109	в другом	2	5
110	и у	3	5
111	не всегда	10	5
112	к нему	3	5
113	особое место	2	5
114	между собой	5	5
115	было бы	5	5
116	мы не	8	5
117	и здесь	7	5
118	что это	3	5
119	или не	3	5
120	в начале	3	5
121	себя в	2	5
122	и даже	2	5
123	только что	3	5
124	подобно тому	6	5
125	для того	3	5
126	в пределах	3	5
127	в какой	3	5
128	их в	2	5
129	в своих	2	5
130	но для	3	5
131	из них	4	5
132	тому как	5	5
133	в одном	2	5
134	как будто	2	5
135	и ее	5	4
136	роль в	2	4
137	а на	3	4
138	в ходе	5	4
139	друг друга	3	4
140	по своему	2	4
141	тому что	5	4
142	она не	2	4
143	это уже	3	4
144	а то	3	4
145	не все	6	4
146	когда в	2	4
147	и когда	2	4
148	и по	3	4
149	не на	2	4
150	что они	5	4
151	в первом	5	4
152	который в	2	4
153	как мы	8	4
154	в основе	2	4
155	в поле	5	4
156	быть и	2	4
157	хотя бы	5	4
158	могла бы	4	4
159	к этому	4	4
160	это было	3	4
161	к ней	3	4
162	и как	6	4
163	не имеет	2	4
164	но они	2	4
165	не с	2	4
166	во сне	2	4
167	оно не	2	4
168	не существует	3	4
169	в итоге	2	4
170	для нас	2	4
171	несмотря на	4	4
172	всяком случае	2	4
173	во всяком	2	4
174	в обоих	2	4
175	так же	4	3
176	но как	3	3
177	а потом	2	3
178	с этой	3	3
179	к чему	3	3
180	в виде	3	3
181	этого не	2	3
182	на друга	2	3
183	и иных	2	3
184	то они	2	3
185	не знает	2	3
186	а с	2	3
187	здесь мы	3	3
188	одной из	2	3
189	как уже	3	3
190	точно так	2	3
191	все эти	5	3
192	связи с	12	3
193	и тогда	3	3
194	в связи	10	3
195	во время	6	3
196	и т	62	3
197	о его	4	3
198	первом случае	3	3
199	но это	6	3
200	можно было	4	3
201	что она	2	3
202	появляется в	2	3
203	если она	2	3
204	дело не	2	3
205	в которой	3	3
206	героя из	2	3
207	героя к	2	3
208	во второй	2	3
209	в этих	17	3
210	о герое	3	3
211	друг на	2	3
212	не происходит	3	3
213	на этот	2	3
214	входит в	4	3
215	приводит к	3	3
216	мальчик и	2	3
217	могли бы	2	3
218	что мы	2	3
219	с точки	6	3
220	и что	3	3
