N	3gram	Tiupa_Anal	Marksizm
1	с точки зрения	6	46
2	не может быть	17	25
3	в самом деле	3	19
4	в то же	9	15
5	по отношению к	9	15
6	то же время	7	15
7	в связи с	2	14
8	в том что	13	14
9	бы то ни	3	12
10	и не может	4	12
11	то ни было	3	12
12	для того чтобы	3	11
13	в отличие от	8	10
14	одного и того	2	9
15	но в то	2	9
16	и того же	2	9
17	то же самое	3	8
18	с другой стороны	2	7
19	на то что	2	6
20	с одной стороны	6	6
21	той или иной	8	5
22	одни и те	2	5
23	в таком случае	5	5
24	в этом отношении	5	5
25	к тому что	2	5
26	в этом случае	4	5
27	и те же	2	5
28	внутреннего и внешнего	2	4
29	в первом случае	2	4
30	том что он	2	4
31	о том что	8	4
32	и то же	2	3
33	тем не менее	3	3
34	и не в	4	3
35	более или менее	2	3
36	и тот же	2	3
37	друг с другом	2	3
38	в том числе	3	3
39	а не в	3	3
40	не могут быть	2	3
41	одно и то	2	3
42	какой бы то	2	3
43	не только в	3	3
44	но и в	3	3
45	в данный момент	2	3
46	и в этом	4	3
47	в той или	3	3
48	по крайней мере	4	2
49	а не только	2	2
50	в коем случае	2	2
51	прежде всего в	2	2
52	в широком смысле	2	2
53	ни в коем	2	2
54	в данном случае	3	2
55	в том или	3	2
56	как и в	2	2
57	между тем как	2	2
58	сами по себе	3	2
59	и в самом	3	2
60	к тому же	6	2
61	место лишь в	2	2
62	в нашем случае	3	2
63	том или ином	4	2
64	и тогда когда	2	2
65	в этом смысле	3	2
66	не есть вещь	2	2
67	нет и не	2	2
68	того или иного	3	2
