N	2gram	Trubetskoy	EvropaiC
1	таким образом	11	34
2	в том	17	31
3	и в	14	24
4	том что	9	20
5	все эти	2	19
6	не может	22	18
7	народа а	2	18
8	то что	13	18
9	может быть	9	17
10	до сих	5	15
11	все же	4	15
12	сих пор	5	15
13	к культуре	2	14
14	точки зрения	11	14
15	в этом	17	13
16	все это	6	13
17	в своем	6	12
18	с этим	2	12
19	самом деле	7	12
20	между тем	5	12
21	по отношению	2	11
22	но и	10	11
23	культуры и	2	11
24	не только	9	10
25	европейской цивилизации	2	10
26	во всех	5	10
27	как и	4	10
28	культуры в	3	10
29	все что	4	10
30	как бы	4	10
31	в результате	2	9
32	друг с	14	9
33	и не	19	9
34	не в	4	9
35	что в	4	9
36	на то	5	9
37	с другом	14	9
38	потому что	5	9
39	при этом	5	9
40	и что	2	9
41	так же	2	8
42	из этих	3	8
43	или менее	4	8
44	если бы	6	8
45	для того	6	8
46	идет речь	4	8
47	европейской культуры	2	8
48	к тому	7	8
49	более или	4	8
50	в самом	3	8
51	знаем что	3	8
52	а между	5	8
53	того чтобы	8	8
54	с точки	9	8
55	касается до	2	8
56	мы говорили	3	8
57	ясно что	2	8
58	на самом	6	7
59	для этого	3	7
60	о которых	3	7
61	в сознании	3	7
62	так как	4	7
63	в силу	2	7
64	что он	6	7
65	данного народа	5	7
66	того что	3	7
67	о котором	3	7
68	о том	7	7
69	из этого	3	7
70	что и	3	7
71	национальной культуры	13	7
72	в этой	4	7
73	по существу	5	7
74	вместе с	4	7
75	в мире	4	6
76	отличается от	2	6
77	только в	5	6
78	все они	3	6
79	еще не	3	6
80	и при	6	6
81	друг от	2	6
82	так что	2	6
83	в то	10	6
84	должна быть	2	6
85	и для	6	6
86	от друга	2	6
87	и если	7	6
88	и на	5	6
89	мы можем	2	6
90	несмотря на	3	6
91	лишь при	5	6
92	тогда как	2	6
93	что с	2	6
94	как на	8	6
95	народов и	2	6
96	с ним	2	6
97	и от	2	5
98	его в	4	5
99	своего народа	6	5
100	в себе	9	5
101	котором идет	2	5
102	должно быть	3	5
103	случае если	3	5
104	лишь в	3	5
105	из них	3	5
106	что это	3	5
107	из всех	2	5
108	у него	2	5
109	что все	3	5
110	но в	2	5
111	именно в	3	5
112	а потому	5	5
113	и с	7	5
114	и к	6	5
115	не будет	7	5
116	в его	4	5
117	как будто	2	5
118	быть и	2	5
119	никогда не	5	4
120	и то	4	4
121	тот факт	2	4
122	самого себя	7	4
123	не могут	4	4
124	мы должны	7	4
125	всех этих	3	4
126	хотя бы	5	4
127	то ни	4	4
128	в конце	3	4
129	этой культуры	2	4
130	целый ряд	2	4
131	и т.д	4	4
132	конце концов	3	4
133	факт что	2	4
134	то же	11	4
135	в их	4	4
136	том же	2	4
137	в области	2	4
138	а с	2	4
139	в виде	3	4
140	совершенно не	2	4
141	в течение	2	4
142	между собой	5	4
143	что для	3	4
144	с тем	6	4
145	не так	2	4
146	европейскую культуру	2	4
147	этом случае	3	4
148	и сейчас	3	4
149	не есть	3	4
150	из которых	5	4
151	том случае	4	4
152	связи с	3	4
153	в таком	2	4
154	он не	5	4
155	это есть	2	4
156	признать что	6	4
157	культуре и	2	4
158	мы уже	2	4
159	ибо в	3	4
160	данном случае	3	3
161	вопрос о	5	3
162	тем самым	2	3
163	в культурном	2	3
164	возможно лишь	4	3
165	культуру в	2	3
166	и потому	3	3
167	не подлежит	2	3
168	к которой	6	3
169	от него	2	3
170	на земле	4	3
171	в начале	2	3
172	в настоящее	2	3
173	но даже	2	3
174	от того	4	3
175	настоящее время	2	3
176	даже если	2	3
177	а лишь	4	3
178	в этих	2	3
179	конечно не	5	3
180	и наконец	2	3
181	во имя	5	3
182	прежде всего	8	3
183	что только	2	3
184	но не	4	3
185	в данном	7	3
186	на этой	2	3
187	а в	5	3
188	бы то	4	3
189	на почве	2	3
190	в нем	5	3
191	в ней	2	3
192	что оно	3	3
193	тогда когда	4	3
194	ко всем	3	3
195	для нас	2	3
196	самих себя	3	3
197	может не	3	3
198	было бы	5	3
199	и по	3	3
200	таким же	3	3
201	во всем	4	3
202	если же	2	3
203	в совершенно	4	3
204	своей национальной	2	3
205	одна из	3	2
206	помнить что	2	2
207	то в	3	2
208	то которое	2	2
209	в другом	3	2
210	понять что	2	2
211	но если	3	2
212	для себя	2	2
213	друг друга	3	2
214	не было	3	2
215	что такой	4	2
216	сил и	3	2
217	следовательно и	2	2
218	он должен	5	2
219	в частности	2	2
220	что они	3	2
221	точку зрения	4	2
222	всех народов	2	2
