N	2gram	Losev_Dial	Analitik
1	не только	26	71
2	и в	35	66
3	в качестве	2	61
4	но и	17	57
5	в том	20	52
6	может быть	30	52
7	в частности	4	51
8	в этом	18	51
9	как и	10	50
10	и не	51	48
11	а не	24	42
12	том что	18	40
13	при этом	2	40
14	так и	18	35
15	в мире	3	31
16	не может	16	29
17	как бы	19	29
18	отнюдь не	13	29
19	а в	8	28
20	в его	4	27
21	и его	6	27
22	не в	12	26
23	но не	9	26
24	в себе	23	24
25	к тому	6	22
26	и даже	23	22
27	в этой	3	22
28	что в	19	22
29	о том	8	20
30	я в	3	20
31	но в	8	19
32	в своей	9	19
33	то же	21	19
34	в самом	6	19
35	в то	10	18
36	в данном	5	18
37	или иной	4	17
38	с другой	10	17
39	со стороны	2	17
40	только в	7	17
41	могут быть	6	16
42	то что	25	16
43	что и	7	16
44	не есть	67	15
45	в их	5	15
46	прежде всего	14	15
47	в сущности	2	15
48	уже не	3	15
49	между тем	3	15
50	не менее	5	14
51	той или	11	14
52	мы имеем	4	14
53	себя в	2	14
54	я и	3	14
55	далеко не	2	14
56	же время	9	14
57	по себе	39	13
58	ничего не	19	13
59	точки зрения	25	13
60	как раз	7	13
61	для него	2	13
62	он не	5	13
63	тому же	3	13
64	никогда не	18	12
65	и к	8	12
66	есть не	8	12
67	как это	8	12
68	еще не	4	12
69	как в	3	12
70	даже в	6	11
71	это не	18	11
72	нуждается в	6	11
73	по своей	5	11
74	и как	14	11
75	не с	5	11
76	можно сказать	10	11
77	в той	4	11
78	в конце	5	10
79	все же	9	10
80	один из	3	10
81	было бы	14	10
82	с одной	4	10
83	перед лицом	2	10
84	именно в	4	10
85	отношения к	3	10
86	в своем	7	9
87	того что	6	9
88	одной стороны	3	9
89	крайней мере	11	9
90	другой стороны	7	9
91	за пределы	4	9
92	во всех	3	9
93	в результате	2	9
94	только не	2	9
95	по крайней	11	9
96	что касается	3	9
97	личности в	2	9
98	говорит о	6	9
99	говорить о	9	9
100	таким образом	5	9
101	вместе с	3	9
102	перед нами	3	8
103	о чем	4	8
104	не всегда	2	8
105	что он	16	8
106	и все	11	8
107	этом отношении	2	8
108	хотя и	4	8
109	в основе	4	8
110	дело не	3	8
111	если бы	12	8
112	не является	3	8
113	времени и	10	8
114	как известно	3	8
115	он и	2	8
116	с точки	18	8
117	с ним	9	8
118	во времени	4	7
119	вплоть до	3	7
120	иное как	4	7
121	в другом	6	7
122	и тем	2	7
123	в ее	3	7
124	все это	14	7
125	во всяком	5	7
126	в противоположность	6	7
127	несмотря на	12	7
128	как будто	7	7
129	субъекта и	4	7
130	что иное	4	7
131	и для	2	7
132	у него	2	7
133	и является	2	7
134	или иначе	3	7
135	личности и	2	7
136	в одном	4	7
137	таком случае	2	7
138	собственно говоря	5	7
139	всяком случае	3	7
140	как мы	5	7
141	времени в	2	7
142	в таком	4	7
143	его в	3	6
144	из того	2	6
145	если в	5	6
146	что не	13	6
147	не что	4	6
