N	2gram	Losev_Prob	PoTuStor
1	может быть	39	17
2	и в	62	16
3	мы можем	11	9
4	в этом	25	9
5	и только	10	9
6	таким образом	13	9
7	прежде всего	13	9
8	и с	11	8
9	точки зрения	14	8
10	совершенно не	7	8
11	не может	14	8
12	и его	12	8
13	сказать что	24	7
14	не только	33	7
15	и это	11	6
16	с точки	9	6
17	конечно не	3	6
18	самом деле	6	6
19	и к	9	6
20	для него	4	6
21	при этом	9	6
22	ни в	17	5
23	все эти	14	5
24	что такое	4	5
25	как бы	11	5
26	еще не	12	5
27	в чем	5	5
28	в него	2	5
29	как мы	12	4
30	и на	4	4
31	все это	9	4
32	на самом	13	4
33	его в	4	4
34	в его	10	4
35	и ее	7	4
36	но и	20	4
37	и не	56	4
38	и все	13	4
39	но в	17	4
40	в этой	10	4
41	с ее	5	4
42	и наконец	2	4
43	так как	14	4
44	и может	4	4
45	только в	33	4
46	в нем	13	4
47	хотя бы	6	4
48	с ними	2	4
49	можно сказать	10	4
50	так и	16	4
51	для всех	3	4
52	отнюдь не	16	4
53	и даже	21	4
54	едва ли	8	3
55	и она	2	3
56	что в	11	3
57	и притом	7	3
58	даже не	3	3
59	жизни и	7	3
60	и как	4	3
61	и потому	13	3
62	а в	9	3
63	в том	35	3
64	их в	2	3
65	по сравнению	3	3
66	с другими	6	3
67	в области	2	3
68	до сих	4	3
69	только на	6	3
70	крайней мере	9	3
71	и есть	9	3
72	во время	3	3
73	но оно	3	3
74	сравнению с	3	3
75	в этих	6	3
76	чем не	4	3
77	отношения к	3	3
78	с их	2	3
79	как это	4	3
80	то что	42	3
81	только как	3	3
82	во всех	4	3
83	по крайней	9	3
84	могут быть	2	3
85	сих пор	4	3
86	всяком случае	8	3
87	вместе с	3	3
88	учение о	3	3
89	в одном	4	3
90	этом смысле	5	3
91	во всяком	14	3
92	и значение	3	3
93	том что	25	3
94	в основе	3	3
95	никогда не	7	2
96	для нас	23	2
97	что мы	12	2
98	может иметь	4	2
99	по своему	6	2
100	есть и	2	2
101	с нею	2	2
102	в них	6	2
103	не можем	5	2
104	и действительно	2	2
105	кажется что	2	2
106	в каком	9	2
107	понятия и	2	2
108	в одно	4	2
109	для этого	9	2
110	и вообще	20	2
111	же как	5	2
112	и для	5	2
113	совсем не	4	2
114	и этот	3	2
115	что не	4	2
116	нам кажется	2	2
117	что это	3	2
118	другими словами	9	2
119	оно и	2	2
120	и по	3	2
121	вообще не	5	2
122	что и	11	2
123	не менее	24	2
124	ее в	2	2
125	на первый	6	2
126	не существует	6	2
127	было бы	14	2
128	но отнюдь	2	2
129	о том	14	2
130	то же	23	2
131	с этим	5	2
132	нечего и	2	2
133	как и	15	2
134	что он	16	2
135	так же	11	2
136	говорить о	7	2
137	да еще	3	2
138	образов и	4	2
139	того же	2	2
140	но ведь	2	2
141	в своей	8	2
142	мы не	15	2
143	ни было	5	2
144	но как	6	2
145	в самом	4	2
146	и говорить	2	2
147	в начале	3	2
148	с этой	3	2
149	а может	3	2
150	не на	2	2
151	в частности	4	2
152	и вся	2	2
153	сознания и	2	2
154	связанные с	2	2
155	он не	10	2
156	в голову	2	2
157	за счет	2	2
158	между собою	5	2
159	во всей	3	2
160	для меня	4	2
161	если мы	24	2
162	и о	8	2
163	не есть	57	2
164	к другим	2	2
165	за пределы	6	2
166	к этому	2	2
167	что на	2	2
168	только и	9	2
169	поэтому и	3	2
170	меньше всего	2	2
171	в пределах	3	2
172	что оно	4	2
173	всех других	2	2
174	есть в	6	2
175	мы уже	4	2
176	только то	4	2
177	не будет	3	2
178	с ним	11	2
179	об его	7	2
180	между собой	3	2
181	но это	13	2
