N	2gram	Losev_Prob	Analitik
1	не только	37	71
2	и в	64	66
3	в качестве	3	61
4	но и	23	57
5	в том	19	52
6	может быть	29	52
7	в частности	5	51
8	в этом	30	51
9	как и	7	50
10	и не	63	48
11	а не	21	42
12	том что	26	40
13	при этом	8	40
14	так и	17	35
15	то есть	61	35
16	представляет собой	2	30
17	не может	18	29
18	как бы	18	29
19	отнюдь не	15	29
20	а в	7	28
21	в его	12	27
22	и его	3	27
23	не в	6	26
24	но не	13	26
25	в себе	16	24
26	к тому	5	22
27	и даже	19	22
28	в этой	14	22
29	что в	21	22
30	лишь в	4	21
31	о том	25	20
32	но в	19	19
33	в своей	8	19
34	то же	10	19
35	в самом	10	19
36	с его	3	19
37	в то	7	18
38	в данном	16	18
39	тем самым	11	17
40	или иной	8	17
41	с другой	8	17
42	со стороны	2	17
43	такого рода	20	17
44	только в	19	17
45	могут быть	2	16
46	то что	72	16
47	в пределах	2	16
48	что и	2	16
49	не есть	49	15
50	в их	7	15
51	прежде всего	17	15
52	в сущности	2	15
53	уже не	9	15
54	и на	11	15
55	между тем	3	15
56	данном случае	10	14
57	не менее	26	14
58	того же	3	14
59	той или	10	14
60	мы имеем	3	14
61	я и	2	14
62	далеко не	9	14
63	по себе	20	13
64	ничего не	20	13
65	точки зрения	5	13
66	как раз	20	13
67	для него	2	13
68	а также	6	13
69	в случае	5	13
70	он не	5	13
71	никогда не	8	12
72	и к	2	12
73	есть не	10	12
74	как это	7	12
75	еще не	18	12
76	как в	5	12
77	сводится к	3	12
78	и сам	3	12
79	даже в	2	11
80	это не	7	11
81	и как	10	11
82	можно сказать	9	11
83	той же	2	11
84	в той	2	11
85	в конце	13	10
86	едва ли	10	10
87	все же	7	10
88	текста и	5	10
89	на себя	2	10
90	однако в	2	10
91	один из	7	10
92	было бы	16	10
93	и самого	5	10
94	того или	8	10
95	особенно в	3	10
96	подобно тому	2	10
97	с одной	4	10
98	именно в	5	10
99	совпадает с	2	10
100	здесь не	9	10
101	отношения к	2	10
102	в своем	7	9
103	того что	18	9
104	одной стороны	4	9
105	крайней мере	8	9
106	по поводу	6	9
107	особого рода	3	9
108	или иного	6	9
109	другой стороны	7	9
110	за пределы	6	9
111	во всех	9	9
112	в результате	6	9
113	только не	4	9
114	по крайней	8	9
115	тому как	3	9
116	и того	5	9
117	говорит о	4	9
118	говорить о	14	9
119	таким образом	9	9
120	вместе с	4	9
121	перед нами	7	8
122	о чем	11	8
123	роль в	2	8
124	что он	11	8
125	и все	9	8
126	одного из	2	8
127	этом отношении	2	8
128	хотя и	8	8
129	в основе	4	8
130	о его	2	8
131	если бы	8	8
132	не является	12	8
133	он и	8	8
134	с точки	3	8
135	с ним	4	8
