N	2gram	Nazirov_Vr	PoTuStor
1	может быть	4	17
2	и в	8	16
3	в этом	8	9
4	таким образом	2	9
5	и с	6	8
6	точки зрения	2	8
7	не может	2	8
8	и его	3	8
9	не только	9	7
10	с его	3	7
11	и это	2	6
12	с точки	2	6
13	для него	2	6
14	при этом	4	6
15	как бы	4	5
16	еще не	2	5
17	в чем	3	5
18	в него	2	5
19	отношение к	2	5
20	все это	4	4
21	его в	3	4
22	в его	3	4
23	и ее	2	4
24	но и	7	4
25	и не	5	4
26	и все	7	4
27	но в	6	4
28	в этой	2	4
29	в нем	6	4
30	отнюдь не	2	4
31	и даже	6	4
32	матери и	3	3
33	что в	7	3
34	и как	3	3
35	а в	2	3
36	в том	3	3
37	их в	2	3
38	чувств и	2	3
39	во время	2	3
40	отношения к	2	3
41	то что	7	3
42	вместе с	2	3
43	к себе	2	3
44	мы знаем	2	3
45	том что	3	3
46	никогда не	2	2
47	для нас	4	2
48	с нею	2	2
49	в них	2	2
50	к ним	2	2
51	же как	2	2
52	нашего времени	2	2
53	не менее	2	2
54	на первый	2	2
55	о том	4	2
56	то же	5	2
57	как и	6	2
58	что он	4	2
59	так же	4	2
60	в своей	2	2
61	но как	2	2
62	в начале	6	2
63	он не	3	2
64	у него	5	2
65	и о	3	2
66	к этому	3	2
67	и образы	2	2
68	и т.п	2	2
69	в этот	3	2
70	на основе	2	2
71	с ним	4	2
72	но это	2	2
