N	2gram	Propp_Isto	UchenyiS
1	и в	40	14
2	не только	28	10
3	а не	18	10
4	и не	19	8
5	прежде всего	15	8
6	то что	17	7
7	не может	19	7
8	вот почему	2	7
9	в этом	13	7
10	может быть	37	6
11	и только	4	5
12	то же	21	5
13	хотя бы	5	5
14	все это	6	5
15	в конечном	2	4
16	но и	21	4
17	в этой	9	4
18	что такое	3	4
19	с другой	8	4
20	в их	6	4
21	конечно не	2	4
22	в частности	3	3
23	для этого	3	3
24	это не	8	3
25	и то	3	3
26	в своей	2	3
27	все же	17	3
28	не как	3	3
29	как и	5	3
30	в то	4	3
31	но в	13	3
32	к сожалению	3	3
33	ни было	2	3
34	было бы	11	3
35	в области	2	3
36	бы то	2	3
37	то ни	2	3
38	другой стороны	7	3
39	для него	2	3
40	в себе	6	2
41	что мы	9	2
42	материала и	2	2
43	же не	3	2
44	нас в	2	2
45	на эту	3	2
46	же самое	3	2
47	что он	32	2
48	таким образом	13	2
49	но не	7	2
50	и для	5	2
51	если бы	8	2
52	ее нельзя	2	2
53	не все	5	2
54	между тем	2	2
55	самом деле	2	2
56	только в	16	2
57	одним из	2	2
58	не есть	2	2
59	что она	10	2
60	ничего не	6	2
61	всех этих	4	2
62	и с	5	2
63	что и	9	2
64	при таком	2	2
65	могут быть	5	2
66	на первый	2	2
67	не могут	3	2
68	смысле этого	2	2
69	это было	2	2
70	превращается в	4	2
71	сих пор	12	2
72	по себе	4	2
73	тем что	7	2
74	том что	11	2
75	а как	2	2
76	в его	10	2
77	в том	12	2
78	как раз	2	2
79	должна быть	5	2
80	его и	6	2
81	но это	8	2
82	для всех	2	2
83	по существу	7	2
84	не в	11	2
85	в системе	2	2
86	в некоторых	4	2
87	мы не	12	2
88	до сих	11	2
89	могли бы	3	2
