N	2gram	Bakhtin_sl	VLabPisa
1	таким образом	16	32
2	в этом	21	29
3	не только	37	26
4	и в	69	26
5	и т	56	25
6	может быть	40	23
7	хотя бы	6	20
8	и не	32	20
9	в процессе	14	17
10	не может	27	17
11	т д	7	16
12	в том	7	15
13	в его	19	15
14	этом отношении	2	14
15	прежде всего	14	13
16	все это	14	13
17	в частности	3	12
18	как это	3	12
19	в качестве	4	12
20	что в	3	11
21	с другой	8	11
22	из них	3	11
23	то же	17	10
24	не могут	7	10
25	но и	37	10
26	и др	17	10
27	о том	5	10
28	к этому	3	9
29	т п	49	9
30	для него	8	9
31	в своем	9	8
32	том что	6	8
33	говорит и	2	8
34	могут быть	25	8
35	другой стороны	5	8
36	все эти	15	8
37	было бы	3	8
38	только в	9	8
39	вместе с	3	8
40	это не	8	7
41	из этих	3	7
42	во всех	25	7
43	по отношению	2	7
44	в основном	7	7
45	то что	2	7
46	отношению к	2	7
47	тому что	2	7
48	как и	8	7
49	в нем	44	7
50	произведения в	2	7
51	не было	4	7
52	же в	2	7
53	а не	29	7
54	произведения и	2	7
55	произведения как	3	6
56	не в	14	6
57	в то	17	6
58	в себе	3	6
59	или менее	5	6
60	все же	10	6
61	том же	4	6
62	у него	5	6
63	так и	22	6
64	более или	5	6
65	приводит к	2	6
66	один из	9	6
67	в зависимости	4	6
68	и его	45	6
69	бы и	6	6
70	между тем	5	6
71	никогда не	9	5
72	даже в	4	5
73	сказать что	4	5
74	в плане	11	5
75	в одном	4	5
76	перед нами	7	5
77	в результате	4	5
78	в пределах	27	5
79	зависимости от	4	5
80	в их	6	5
81	не является	3	5
82	одним из	5	5
83	и при	2	5
84	действующих лиц	2	5
85	к тому	3	5
86	как бы	16	5
87	в них	11	5
88	в целом	3	5
89	связи с	4	5
90	же время	15	5
91	и есть	2	5
92	художественный образ	3	5
93	одна из	6	4
94	в сознании	3	4
95	и ее	3	4
96	всего произведения	2	4
97	роль в	4	4
98	в виду	2	4
99	что он	2	4
100	в романе	64	4
101	по существу	3	4
102	что все	2	4
103	должен быть	3	4
104	в самом	6	4
105	как раз	3	4
106	в ее	2	4
107	с ними	8	4
108	в своей	8	4
109	в связи	2	4
110	них не	2	4
111	можно сказать	2	4
112	с его	8	4
113	не столь	2	3
114	и от	5	3
115	например в	6	3
116	и к	9	3
117	на данном	2	3
118	с этим	5	3
119	так же	2	3
120	но как	2	3
121	всех этих	8	3
122	в форме	3	3
123	этого типа	2	3
124	в значительной	6	3
125	его в	7	3
126	и как	3	3
127	данного автора	2	3
128	как он	2	3
129	как о	2	3
130	для того	2	3
131	и их	6	3
132	у нас	2	3
133	его не	4	3
134	при всем	3	3
135	того что	4	3
136	образом в	4	3
137	п в	2	3
138	мы видели	3	3
139	далеко не	7	3
140	она не	8	3
141	а в	10	3
142	или меньшей	5	3
143	в котором	2	3
144	именно в	5	3
145	точки зрения	24	3
146	даже и	4	3
147	мира и	4	3
148	что оно	4	3
149	со своим	13	3
150	между ними	2	3
151	большей или	5	3
152	человека и	3	3
153	жизни и	5	3
154	что и	2	3
155	у тургенева	7	3
156	и мир	9	3
157	и по	3	3
158	или в	10	3
159	что они	2	3
160	же и	4	3
161	в слове	11	3
162	момент в	2	3
163	вовсе не	16	3
164	от его	4	2
165	да и	2	2
166	произведения не	2	2
167	или иной	13	2
168	меньшей степени	4	2
169	и потому	9	2
170	того или	2	2
171	которые в	4	2
172	слова не	5	2
173	с другими	8	2
174	так сказать	11	2
175	одной стороны	7	2
176	и слова	6	2
177	можно было	2	2
178	могут не	2	2
179	в каждом	5	2
180	должно быть	3	2
181	из своих	2	2
182	у каждого	2	2
183	и формы	4	2
184	отличается от	3	2
185	в другом	4	2
186	и даже	11	2
187	вне его	4	2
188	и у	2	2
189	в самых	2	2
190	которая не	3	2
191	единого и	5	2
192	связана с	2	2
193	а как	3	2
194	все они	9	2
195	в особенности	10	2
196	и наконец	9	2
197	у них	2	2
198	эти явления	2	2
199	еще не	9	2
200	как у	2	2
201	в которой	4	2
202	не приходится	2	2
203	например у	3	2
204	всех его	9	2
205	в известной	3	2
206	в чем	2	2
207	сих пор	4	2
208	как особый	2	2
209	формы и	3	2
210	с одной	7	2
211	его от	2	2
212	не с	5	2
213	одной из	4	2
214	к ним	2	2
215	но не	7	2
216	и для	7	2
217	стороны и	3	2
218	также и	5	2
219	не менее	4	2
220	только с	3	2
221	но в	13	2
222	они не	3	2
223	на то	2	2
224	он может	3	2
225	он в	6	2
226	такое понимание	2	2
227	мы наблюдаем	2	2
228	все его	4	2
229	в ней	7	2
230	в сфере	2	2
231	и социальной	2	2
232	из себя	3	2
233	на этом	4	2
234	тогда когда	2	2
235	не столько	4	2
236	смысле слова	2	2
237	только не	2	2
238	по себе	4	2
239	всяком случае	7	2
240	для них	2	2
241	может не	9	2
242	включен в	2	2
243	идеологического творчества	3	2
244	человека в	5	2
245	отметить что	3	2
246	же как	2	2
247	говорить о	2	2
248	и может	4	2
249	и непосредственно	6	2
250	только о	2	2
251	он не	5	2
252	и сам	4	2
253	должна быть	3	2
254	ту же	5	2
255	остановимся на	2	2
256	в большей	3	2
257	на язык	2	2
258	хотя и	4	2
259	лишь в	6	2
260	во всяком	9	2
261	подчеркнуть что	2	2
262	до сих	4	2
263	того как	2	2
264	в системе	2	2
