N	2gram	Vinokur_Vv	UchenyiS
1	и в	35	14
2	не только	26	10
3	а не	5	10
4	и не	13	8
5	прежде всего	10	8
6	то что	19	7
7	не может	19	7
8	вот почему	3	7
9	в этом	35	7
10	может быть	30	6
11	то же	11	5
12	хотя бы	6	5
13	все это	6	5
14	в конечном	3	4
15	но и	7	4
16	в этой	3	4
17	что такое	12	4
18	с другой	8	4
19	в их	12	4
20	у нас	2	3
21	в частности	3	3
22	истории литературы	3	3
23	для этого	3	3
24	и т.д	5	3
25	не следует	3	3
26	это не	8	3
27	вряд ли	3	3
28	как такового	3	3
29	и то	7	3
30	в своей	4	3
31	все же	9	3
32	не как	3	3
33	как и	7	3
34	в то	6	3
35	но в	10	3
36	этой области	3	3
37	же время	6	3
38	было бы	7	3
39	в области	4	3
40	другой стороны	5	3
41	в самом	13	2
42	в себе	4	2
43	что мы	2	2
44	в широком	7	2
45	о чем	4	2
46	же самое	3	2
47	что он	5	2
48	надо было	2	2
49	крайней мере	4	2
50	литературы и	2	2
51	таким образом	21	2
52	но не	9	2
53	и для	4	2
54	если бы	3	2
55	между тем	10	2
56	самом деле	7	2
57	только в	16	2
58	одним из	5	2
59	этом смысле	11	2
60	не есть	5	2
61	что она	3	2
62	ничего не	2	2
63	даже и	4	2
64	и с	2	2
65	должна была	2	2
66	тех или	3	2
67	что и	5	2
68	или иных	3	2
69	по крайней	4	2
70	могут быть	6	2
71	а между	2	2
72	не могут	6	2
73	смысле этого	9	2
74	сих пор	7	2
75	по себе	11	2
76	тем что	6	2
77	том что	30	2
78	а как	5	2
79	материал для	3	2
80	в его	12	2
81	это уже	2	2
82	в том	38	2
83	этом отношении	4	2
84	этого термина	3	2
85	как раз	4	2
86	должна быть	2	2
87	конце концов	2	2
88	но это	2	2
89	по существу	2	2
90	не в	10	2
91	художественных произведений	2	2
92	бы и	3	2
93	в конце	3	2
94	мы не	2	2
95	до сих	7	2
96	не столько	2	2
97	именно как	3	2
