N	2gram	Berdyaev_N	Mirosoze
1	и в	16	97
2	может быть	7	64
3	не только	5	63
4	в этом	7	55
5	но и	3	54
6	он не	8	53
7	а не	17	53
8	в нем	5	49
9	не может	16	49
10	у него	2	47
11	во имя	15	39
12	и не	11	39
13	никогда не	6	38
14	потому что	4	37
15	в ней	5	37
16	не было	4	36
17	не в	6	34
18	и есть	10	33
19	есть лишь	4	30
20	не есть	3	30
21	прежде всего	4	29
22	как и	7	29
23	но в	2	27
24	в мире	3	27
25	человека и	3	26
26	и это	2	25
27	в своей	3	25
28	и все	4	24
29	свободы и	2	24
30	что в	9	23
31	в себе	2	20
32	бога и	3	20
33	в россии	3	19
34	и потому	4	17
35	в том	8	16
36	том что	2	16
37	то что	4	16
38	если нет	2	16
39	быть может	4	15
40	духа в	2	15
41	не знает	6	15
42	она не	3	14
43	в русском	2	13
44	и на	2	13
45	это не	4	12
46	свободы в	2	12
47	смысле слова	3	12
48	в них	4	12
49	все это	5	12
50	но не	2	12
51	с тем	3	11
52	но это	6	11
53	хотя бы	2	11
54	как в	3	11
55	и для	4	11
56	уже не	2	11
57	и к	5	11
58	жизни и	8	11
59	духа и	3	11
60	так же	2	10
61	это и	2	10
62	должна быть	3	10
63	связана с	2	10
64	не имеет	4	10
65	свобода духа	2	9
66	xix века	5	9
67	а в	2	9
68	к тому	3	9
69	не будет	7	9
70	я не	2	9
71	должно быть	4	9
72	лишь в	6	9
73	вместе с	2	9
74	вопрос о	3	8
75	мира и	2	8
76	того чтобы	2	8
77	не знал	2	8
78	с его	6	8
79	себя в	2	8
80	за пределы	3	8
81	нет и	2	8
82	о том	4	8
83	и с	2	8
84	в духе	3	7
85	высшей степени	6	7
86	должен быть	5	7
87	что все	2	7
88	революции и	3	7
89	что она	2	7
90	в высшей	6	7
91	жизни в	3	7
92	в жизни	5	7
93	не существует	3	7
94	к богу	2	6
95	в ее	3	6
96	кризис культуры	6	6
97	совсем не	12	6
98	это есть	7	6
99	и от	2	6
100	можно было	2	6
101	не к	2	6
102	в то	2	5
103	так и	2	5
104	все время	2	5
105	на путях	2	5
106	для чего	2	5
107	сказать что	3	5
108	в основе	3	5
109	и мы	4	5
110	с этим	2	5
111	к новому	7	5
112	мысли и	2	5
113	для этого	2	5
114	еще не	3	5
115	как будто	2	5
116	из глубины	2	5
117	на протяжении	2	5
118	культуры и	7	5
119	думать что	2	5
120	к революции	2	5
121	духовной жизни	2	4
122	есть в	2	4
123	по своему	4	4
124	в центре	2	4
125	место в	2	4
126	могут быть	2	4
127	все эти	2	4
128	в истории	3	4
129	новой истории	67	4
130	значит что	4	4
131	нем нет	2	4
132	и даже	2	4
133	имя свободы	3	4
134	ни в	6	4
135	от всякого	2	4
136	мы не	2	4
137	время как	2	4
138	русской революции	2	4
139	в эпоху	9	4
140	культуры в	5	4
141	и что	2	4
142	в судьбах	2	3
143	возвращается к	2	3
144	жизни не	3	3
145	но она	2	3
146	верить в	3	3
147	в духовной	2	3
148	на гибель	2	3
149	же как	2	3
150	хотя и	2	3
151	может уже	2	3
152	в наше	3	3
153	истории и	9	3
154	конечно не	3	3
155	нельзя уже	2	3
156	бога но	2	3
157	как не	8	3
158	не значит	3	3
159	во всех	3	3
160	мир и	2	3
161	будет и	2	3
162	но для	2	3
163	тому как	3	3
164	роль в	2	3
165	и должно	2	3
166	каждого человека	2	3
167	к духовному	2	3
168	к подлинному	2	2
169	не имеют	2	2
170	жизни к	4	2
171	человека во	2	2
172	на вершинах	2	2
173	возвращение к	3	2
174	глубины и	2	2
175	и социализм	2	2
176	было такого	3	2
177	бога то	2	2
178	такого рода	2	2
179	нашей эпохи	3	2
180	быть в	2	2
181	будет уже	2	2
182	не менее	4	2
183	большую роль	4	2
184	свободы человека	2	2
185	гуманистическое самоутверждение	3	2
186	xix век	2	2
187	к жизни	3	2
188	вот почему	2	2
189	она порождает	2	2
190	связаны с	2	2
191	свободы от	2	2
192	не могли	2	2
193	в прошлом	3	2
194	всемирной истории	2	2
195	когда мы	2	2
196	в свои	2	2
197	с их	2	2
198	воля к	6	2
199	это было	3	2
200	еще до	2	2
201	наше время	4	2
202	подобно тому	3	2
203	разлагается и	3	2
204	не будут	2	2
205	этот мир	2	2
206	ни к	2	2
207	не означает	3	2
208	с другой	3	2
209	божественной жизни	2	2
210	что такое	3	2
211	в смысле	2	2
212	царства божьего	3	2
213	истории в	5	2
214	жизни как	2	2
215	но я	2	2
216	и весь	2	2
217	и социализмом	2	2
