N	2gram	Voloshinov	TeoriaLi
1	– это	11	33
2	в качестве	4	33
3	не только	18	24
4	и в	32	24
5	в частности	2	23
6	то есть	2	22
7	может быть	50	22
8	в том	13	20
9	– в	13	20
10	при этом	13	20
11	и не	42	17
12	а в	5	15
13	но и	17	14
14	так и	21	14
15	а не	15	14
16	в себе	5	14
17	но не	2	13
18	внутренней речи	13	13
19	в этом	27	12
20	то же	19	12
21	но в	13	12
22	сводится к	5	12
23	в его	10	12
24	том что	12	11
25	точки зрения	48	11
26	и его	33	11
27	по отношению	10	10
28	лишь в	17	10
29	отношению к	9	10
30	как это	2	10
31	что в	5	10
32	в данном	8	9
33	не в	13	9
34	в душе	3	9
35	с другой	6	9
36	в то	7	9
37	только в	14	9
38	не может	40	8
39	– с	4	8
40	как бы	31	8
41	в своей	5	8
42	же время	7	8
43	или иной	8	7
44	в своем	3	7
45	себя в	2	7
46	в области	3	7
47	на смену	2	7
48	отличие от	7	7
49	в самом	14	7
50	в отличие	7	7
51	место в	5	7
52	не столько	5	7
53	и т.п	17	7
54	в нем	17	7
55	или иного	2	6
56	того или	2	6
57	другой стороны	7	6
58	в первой	2	6
59	со стороны	2	6
60	не менее	5	6
61	еще не	7	6
62	то что	12	6
63	или менее	3	6
64	как и	19	6
65	более или	3	6
66	с другими	6	6
67	в русской	3	6
68	или иначе	3	6
69	уже не	2	6
70	приводит к	3	6
71	между ними	6	6
72	в ее	9	6
73	в основе	10	6
74	с его	6	6
75	по преимуществу	5	5
76	как в	5	5
77	знака к	5	5
78	как к	2	5
79	ни в	7	5
80	в виду	2	5
81	и тем	4	5
82	не является	11	5
83	для того	8	5
84	в пределах	7	5
85	для него	18	5
86	за пределами	2	5
87	так или	2	5
88	на почве	14	5
89	высказывания в	8	5
90	– его	4	5
91	между тем	8	5
92	могут быть	4	5
93	того чтобы	9	5
94	того что	5	5
95	он не	5	5
96	можно сказать	4	5
97	никогда не	7	4
98	сказать что	7	4
99	в отношении	7	4
100	его в	7	4
101	это не	5	4
102	и ее	4	4
103	в форме	3	4
104	в другом	5	4
105	этого слова	7	4
106	знакового материала	3	4
107	и т.д	6	4
108	– не	11	4
109	в их	5	4
110	одного и	9	4
111	в этих	2	4
112	что он	5	4
113	в литературе	2	4
114	далеко не	5	4
115	к тому	8	4
116	речи и	6	4
117	а только	2	4
118	того же	11	4
119	слова в	8	4
120	мира и	2	4
121	входит в	5	4
122	в свою	6	4
123	в целом	2	4
124	совпадает с	3	4
125	отношении к	8	4
126	и того	11	4
127	и что	2	4
128	языка в	17	4
129	говорить о	2	4
130	или даже	2	4
131	не на	2	4
132	с ее	2	4
133	– на	3	4
134	не следует	2	4
135	без исключения	9	4
136	отношения к	2	4
137	в нашем	4	4
138	не знает	4	4
139	в слове	13	4
140	и то	4	3
141	между которыми	2	3
142	мышления и	2	3
143	и потому	7	3
144	во всех	13	3
145	из этих	3	3
146	одной стороны	2	3
147	– все	3	3
148	в которой	4	3
149	не все	3	3
150	и для	15	3
151	тем не	3	3
152	второй –	2	3
153	и как	8	3
154	если бы	12	3
155	знаковом материале	5	3
156	в узком	4	3
157	отношение знака	2	3
158	или в	4	3
159	тот или	2	3
160	свою очередь	5	3
161	в таком	8	3
162	слова как	9	3
163	одним из	4	3
164	с этой	2	3
165	и вот	2	3
166	ни к	3	3
167	в романе	2	3
168	между собой	3	3
169	всех без	5	3
170	с одной	2	3
171	и др	3	3
172	не с	2	3
173	в жизни	2	3
174	для себя	4	3
175	в контексте	12	3
176	это отношение	2	3
177	столь же	2	3
178	именно в	6	3
179	потому что	2	3
180	с языком	2	3
181	том числе	3	3
182	во втором	2	3
183	прежде всего	19	3
184	к его	4	3
185	и к	3	3
186	этом смысле	2	3
187	отнюдь не	14	3
188	мог бы	2	3
189	не будет	7	3
190	с точки	31	3
191	все эти	8	3
192	в знаковом	2	3
193	той или	5	3
194	связи с	22	3
195	в связи	12	3
196	таким образом	29	3
197	нового времени	2	3
198	во всей	2	3
199	известной степени	2	3
200	принадлежит к	2	3
201	например в	2	3
202	в этой	3	3
203	имеет место	2	3
204	в одном	2	3
205	как раз	5	3
206	вовсе не	15	3
207	между двумя	4	3
208	одно и	3	2
209	еще и	2	2
210	в каком	6	2
211	к одному	5	2
212	речи а	2	2
213	могла бы	2	2
214	не могут	4	2
215	значительной степени	3	2
216	то в	3	2
217	для всех	2	2
218	так же	10	2
219	но как	3	2
220	тем более	3	2
221	одну из	2	2
222	в коем	2	2
