N	3gram	Medvedev_V	Psycholo
1	в том что	5	78
2	для того чтобы	3	70
3	и т п	9	37
4	о том что	3	34
5	с одной стороны	2	28
6	до сих пор	2	23
7	не может быть	8	23
8	и т д	16	22
9	к тому что	4	20
10	с другой стороны	8	20
11	в том чтобы	2	20
12	не только не	2	16
13	в зависимости от	5	15
14	во всяком случае	2	14
15	в этом отношении	14	14
16	можно было бы	2	13
17	в конце концов	2	12
18	этой точки зрения	2	12
19	в художественном произведении	4	11
20	в конечном счете	5	11
21	подобно тому как	3	11
22	только в том	2	10
23	вместе с тем	4	10
24	не в том	2	10
25	мы знаем что	2	8
26	по этому поводу	7	8
27	можно сказать что	4	7
28	только то что	2	7
29	более или менее	6	6
30	не только в	2	6
31	не было бы	4	5
32	мы видели что	3	5
33	о том как	3	5
34	от того что	2	4
35	как это делает	3	4
36	это и есть	3	4
37	и не может	2	4
38	таким образом в	2	4
39	и никогда не	2	4
40	в этой области	3	4
41	во всех этих	2	3
42	после того как	2	3
43	не могут быть	4	3
44	что все эти	2	3
45	в то же	5	3
46	иметь в виду	2	3
47	приводит к тому	2	3
48	по отношению к	7	3
49	то же время	5	3
50	и в другом	2	3
51	и в процессе	2	3
52	в связи с	4	2
53	в одном из	4	2
54	в чем же	2	2
55	по крайней мере	2	2
56	которая не может	2	2
57	каждой из этих	2	2
58	бы не было	2	2
59	не может не	2	2
60	одной стороны и	2	2
61	в значительной мере	3	2
62	в точном смысле	2	2
63	вот что говорит	3	2
64	равно как и	4	2
