N	2gram	Losev_Prob	Poddanst
1	не только	37	17
2	и в	64	14
3	и не	63	12
4	в области	8	11
5	в этом	30	10
6	в отношении	7	10
7	но в	19	9
8	то же	10	9
9	в том	19	9
10	в качестве	3	9
11	хотя бы	15	8
12	в пределах	2	8
13	в то	7	7
14	только в	19	7
15	но и	23	6
16	было бы	16	6
17	в смысле	2	6
18	с другой	8	5
19	не в	6	5
20	и о	11	5
21	в которых	4	5
22	и пр	4	5
23	может быть	29	5
24	по себе	20	4
25	что в	21	4
26	если бы	8	4
27	и потому	3	4
28	в своем	7	4
29	том что	26	4
30	а также	6	4
31	мы должны	5	4
32	в котором	5	4
33	и к	2	4
34	как бы	18	4
35	и если	9	4
36	то что	72	4
37	не может	18	4
38	в с	2	4
39	а в	7	4
40	же в	5	4
41	что мы	23	3
42	и как	10	3
43	с тем	6	3
44	но не	13	3
45	тем самым	11	3
46	это не	7	3
47	т е	2	3
48	с точки	3	3
49	сводится к	3	3
50	сами по	5	3
51	россии как	2	3
52	мы не	6	3
53	я и	2	3
54	для того	10	3
55	в себе	16	3
56	точки зрения	5	3
57	потому что	24	3
58	одной стороны	4	3
59	в нем	14	3
60	между тем	3	3
61	и без	6	3
62	она есть	5	3
63	могут быть	2	3
64	прежде всего	17	3
65	и т	13	3
66	хотя и	8	3
67	тот же	4	3
68	с одной	4	3
69	заключается в	2	3
70	для нас	11	2
71	должно быть	3	2
72	не о	7	2
73	да и	11	2
74	м а	6	2
75	в них	8	2
76	является в	3	2
77	в жизни	3	2
78	если в	2	2
79	одна из	4	2
80	есть не	10	2
81	отношения к	2	2
82	для них	5	2
83	никак не	13	2
84	в эту	2	2
85	стороны и	3	2
86	о с	2	2
87	и это	13	2
88	есть нечто	13	2
89	помнить что	3	2
90	и тем	16	2
91	сколько бы	2	2
92	в его	12	2
93	с этим	7	2
94	в общем	5	2
95	не менее	26	2
96	говорить о	14	2
97	со стороны	2	2
98	в последние	3	2
99	именно в	5	2
100	именно как	7	2
101	в виде	20	2
102	тем более	13	2
103	все это	11	2
104	в частности	5	2
105	значительной мере	2	2
106	том числе	2	2
107	как на	3	2
108	друг другу	2	2
109	и пусть	3	2
110	а не	21	2
111	во всей	4	2
112	не было	7	2
113	мысль о	3	2
114	и есть	7	2
115	например в	2	2
116	и с	12	2
117	может и	3	2
118	не будем	5	2
119	во всех	9	2
120	в ее	3	2
121	но о	2	2
122	не нужно	6	2
123	между прочим	3	2
124	как раз	20	2
125	есть в	9	2
126	в значительной	2	2
127	того что	18	2
128	думать что	2	2
129	в силу	2	2
130	из них	3	2
131	отнюдь не	15	2
