N	3gram	Vinokur_Vv	EvropaiC
1	в том что	15	16
2	до сих пор	7	15
3	по отношению к	4	11
4	а между тем	2	8
5	с точки зрения	4	8
6	для того чтобы	22	7
7	так или иначе	4	5
8	по сравнению с	4	5
9	в самом деле	6	5
10	с течением времени	7	4
11	тем не менее	9	4
12	с другой стороны	5	4
13	в конце концов	2	4
14	в этом случае	6	4
15	может быть и	2	4
16	о том что	13	4
17	не может быть	10	4
18	вместе с тем	3	3
19	в данном случае	4	3
20	в целом ряде	2	3
21	и того же	2	3
22	одного и того	2	3
23	в связи с	2	3
24	заключается в том	3	3
25	и то что	3	3
26	но вместе с	2	2
27	с одной стороны	4	2
28	во всяком случае	5	2
29	и в том	4	2
30	но все же	4	2
31	что несмотря на	2	2
32	в том виде	3	2
33	что же касается	2	2
34	то же время	6	2
35	в то же	6	2
36	принять во внимание	2	2
37	не может служить	2	2
38	в свою очередь	2	2
