N	2gram	Vygotskiy_	Vladivir
1	и в	65	116
2	то что	61	71
3	и не	20	67
4	не только	16	65
5	у него	6	65
6	в этом	37	53
7	в том	46	52
8	том что	28	51
9	что в	36	48
10	но и	6	47
11	в конце	5	41
12	в его	11	40
13	и с	4	39
14	то есть	30	37
15	сказать что	14	36
16	и даже	4	36
17	так что	10	35
18	же с	2	34
19	потому что	26	33
20	еще и	2	32
21	что он	23	32
22	не может	17	31
23	о том	17	30
24	только в	9	30
25	никогда не	9	29
26	как мы	12	29
27	для него	4	29
28	вовсе не	11	27
29	а в	9	27
30	не было	4	26
31	в то	5	25
32	но в	5	25
33	в себе	9	25
34	и то	10	25
35	а к	2	25
36	и его	8	25
37	точки зрения	19	23
38	может быть	33	23
39	он не	11	23
40	что же	3	23
41	в виде	5	22
42	так как	13	22
43	он был	3	22
44	кроме того	2	22
45	об этом	4	22
46	ни в	6	22
47	в своей	6	21
48	вместе с	10	21
49	в своем	8	20
50	прежде всего	2	20
51	для нас	14	20
52	и что	29	20
53	так и	3	19
54	как раз	14	19
55	таким образом	21	19
56	в течение	5	19
57	не в	12	18
58	как это	13	18
59	как и	12	18
60	с его	2	18
61	не мог	4	18
62	едва ли	4	17
63	что и	7	17
64	в этой	20	17
65	то это	5	17
66	у нас	4	17
67	а не	11	17
68	и если	13	17
69	уже не	2	16
70	все же	10	16
71	того что	9	16
72	совсем не	3	16
73	было бы	22	16
74	к тому	18	16
75	и все	14	16
76	в котором	7	16
77	до конца	5	15
78	но это	6	15
79	к этому	5	15
80	это было	4	15
81	несмотря на	7	15
82	то же	17	15
83	в своих	6	15
84	и к	5	15
85	того же	4	14
86	все эти	7	14
87	и как	10	14
88	и на	7	14
89	мы уже	12	14
90	так же	12	13
91	с тем	14	13
92	можно сказать	2	13
93	что это	19	13
94	в результате	3	13
95	не просто	7	13
96	жизни и	6	13
97	на этот	2	13
98	то время	4	13
99	во всем	2	13
100	есть только	3	12
101	только на	3	12
102	ничего не	4	12
103	в нем	8	12
104	и по	2	12
105	связи с	2	12
106	во всяком	6	12
107	и это	13	12
108	мы сейчас	2	12
109	по себе	5	12
110	всяком случае	6	12
111	мы должны	3	11
112	и о	6	11
113	я не	9	11
114	при этом	10	11
115	все это	12	11
116	это есть	3	11
117	никак не	12	11
118	в данном	5	11
119	хотя бы	3	11
120	в которой	8	11
121	и здесь	9	11
122	на то	25	11
123	но что	3	11
124	тому же	2	11
125	даже в	2	10
126	о нем	2	10
127	к нему	2	10
128	в ней	23	10
129	что его	3	10
130	которую он	2	10
131	что все	10	10
132	в качестве	2	10
133	в истории	3	10
134	можно было	7	10
135	еще не	3	10
136	но не	3	10
137	что для	6	10
138	в самом	41	10
139	отнюдь не	2	10
140	с точки	11	10
141	здесь не	3	10
142	с ним	6	10
143	это не	7	9
144	но как	3	9
145	оно есть	2	9
146	мы знаем	3	9
147	а с	4	9
148	своей жизни	2	9
149	в целом	8	9
150	по существу	4	9
151	что если	6	9
152	с этим	11	9
153	что касается	2	9
154	с другой	8	9
155	не будет	2	9
156	именно в	3	9
157	что мы	6	9
158	из этого	10	9
159	отношения к	3	9
160	мы будем	4	9
161	но он	5	9
162	это мы	2	8
163	отношение к	2	8
164	в чем	3	8
165	как бы	29	8
166	тот же	5	8
167	из этих	6	8
168	и он	5	8
169	тем что	7	8
170	и я	3	8
171	это значит	4	8
172	с этой	5	8
173	в этих	3	8
174	как в	8	8
175	и для	4	8
176	когда он	8	8
177	со стороны	4	8
178	значит что	2	8
179	конечно не	6	8
180	в каком	8	7
181	к его	2	7
182	как он	2	7
183	при помощи	7	7
184	не имеет	8	7
185	никак нельзя	2	7
186	к этой	3	7
187	мы читаем	4	7
188	на его	2	7
189	нисколько не	3	7
190	точно так	3	7
191	того чтобы	21	7
192	о его	2	7
193	же в	2	7
194	здесь мы	6	7
195	бы и	2	7
196	мы видели	7	7
197	и мы	19	7
198	то и	3	7
199	к концу	4	7
200	если бы	22	7
201	и вот	6	7
202	ничего общего	3	7
203	или как	2	7
204	к ней	3	7
205	но если	6	7
206	но все	2	7
207	в одном	9	7
208	что этот	5	7
209	в таком	6	7
210	и есть	3	7
211	в них	4	7
212	данном случае	5	6
213	его в	5	6
214	те же	2	6
215	само собой	3	6
