N	2gram	Tiupa_Anal	VrazhdaK
1	в году	5	18
2	не только	40	9
3	и что	2	8
4	в этом	19	8
5	и в	36	8
6	что в	15	7
7	но и	26	7
8	и все	3	7
9	то что	5	7
10	но в	8	6
11	как и	27	6
12	в начале	10	6
13	в нем	3	6
14	все же	6	6
15	в романе	3	6
16	и даже	12	6
17	и не	14	5
18	не было	3	5
19	об этом	3	5
20	то же	7	5
21	в то	8	5
22	же время	7	5
23	у него	2	5
24	между тем	8	5
25	уже в	5	4
26	несмотря на	2	4
27	в своих	3	4
28	это не	4	4
29	все это	5	4
30	при этом	19	4
31	о том	9	4
32	в ней	2	4
33	как бы	14	4
34	что он	5	4
35	с ним	2	4
36	может быть	19	4
37	человека в	3	3
38	т е	2	3
39	в том	16	3
40	в чем	2	3
41	его в	4	3
42	далеко не	8	3
43	что у	3	3
44	в своем	7	3
45	том что	19	3
46	в его	12	3
47	и его	18	3
48	и как	5	3
49	он был	3	3
50	в русской	9	3
51	он не	9	3
52	о себе	4	3
53	речь идет	3	3
54	к этому	3	3
55	я не	3	3
56	русской литературе	6	3
57	в конце	6	3
58	по нашему	3	3
59	с его	15	3
60	тем что	3	3
61	никогда не	7	2
62	в одну	3	2
63	с нею	2	2
64	и то	2	2
65	в них	4	2
66	уже не	9	2
67	в мире	17	2
68	одна из	6	2
69	и т.п	7	2
70	место в	4	2
71	нашего времени	5	2
72	в той	3	2
73	для него	8	2
74	с точки	2	2
75	а в	17	2
76	человека с	2	2
77	а также	5	2
78	он сам	2	2
79	в этой	10	2
80	нашему убеждению	3	2
81	тогда как	37	2
82	столь же	7	2
83	в своей	12	2
84	как раз	8	2
85	же в	5	2
86	но как	4	2
87	и он	4	2
88	в себе	7	2
89	еще не	7	2
90	и а	4	2
91	точки зрения	3	2
92	о чем	5	2
93	тем более	3	2
94	таким образом	4	2
95	из повести	2	2
96	и ее	3	2
97	во время	2	2
98	в момент	3	2
99	отношения к	6	2
100	в свою	9	2
101	так в	4	2
102	о которой	2	2
103	в эту	2	2
104	не может	3	2
105	из них	4	2
106	ответ на	3	2
107	не менее	9	2
108	но это	3	2
109	в глазах	6	2
110	отнюдь не	7	2
111	а с	2	2
112	не мог	4	2
113	вместе с	3	2
114	в известном	2	2
115	и далее	2	2
116	отношение к	2	2
