N	2gram	Berdyaev_N	Myslijsy
1	потому что	4	182
2	и в	16	121
3	может быть	7	107
4	в том	8	103
5	то что	4	83
6	что в	9	73
7	и не	11	73
8	не только	5	67
9	а не	17	67
10	том что	2	59
11	в этом	7	59
12	но и	3	59
13	не в	6	54
14	в себе	2	53
15	не может	16	52
16	в нем	5	45
17	не есть	3	42
18	как и	7	42
19	вместе с	2	39
20	мы не	2	38
21	так и	2	37
22	как в	3	37
23	и что	2	32
24	а в	2	30
25	но не	2	29
26	могут быть	2	27
27	с этим	2	27
28	не было	4	26
29	в то	2	24
30	с тем	3	23
31	но в	2	22
32	не имеет	4	22
33	с другой	3	22
34	и потому	4	21
35	не менее	4	21
36	в ней	5	20
37	это не	4	20
38	мысли и	2	19
39	сказать что	3	19
40	но это	6	19
41	должно быть	4	19
42	о том	4	19
43	еще не	3	18
44	к тому	3	16
45	так же	2	16
46	в них	4	16
47	и на	2	16
48	с одной	2	15
49	думать что	2	15
50	тому как	3	15
51	прежде всего	4	15
52	быть может	4	15
53	уже не	2	15
54	в истории	3	14
55	мысли в	2	14
56	в природе	2	14
57	когда мы	2	14
58	во всех	3	14
59	что все	2	13
60	и все	4	13
61	зависит от	2	13
62	в смысле	2	13
63	никогда не	6	12
64	человека и	3	12
65	все это	5	12
66	есть в	2	12
67	что такое	3	12
68	хотя и	2	12
69	другой стороны	2	12
70	того чтобы	2	11
71	подобно тому	3	11
72	и это	2	11
73	одной стороны	2	10
74	и для	4	10
75	мы говорим	2	10
76	хотя бы	2	10
77	духа и	3	10
78	и от	2	10
79	и мы	4	10
80	он не	8	10
81	и с	2	10
82	и есть	10	10
83	вопрос о	3	9
84	не будет	7	9
85	это было	3	9
86	и даже	2	9
87	что она	2	9
88	помнить что	2	8
89	перестает быть	4	8
90	не имеют	2	7
91	она не	3	7
92	место в	2	7
93	все эти	2	7
94	за пределы	3	7
95	в жизни	5	7
96	этом смысле	2	7
97	не существует	3	7
98	в обществе	2	6
99	в ее	3	6
100	в своей	3	6
101	должна быть	3	6
102	в мире	3	6
103	и к	5	6
104	к ним	3	6
105	жизни и	8	6
106	у него	2	6
107	лишь в	6	6
108	можно было	2	5
109	одна из	2	5
110	как не	8	5
111	том чтобы	2	5
112	стремится к	3	5
113	времени и	2	5
114	время как	2	5
115	можно назвать	2	5
116	конечно не	3	5
117	не к	2	5
118	не могла	2	4
119	том и	2	4
120	все они	2	4
121	из глубины	2	4
122	ни в	6	4
123	к новому	7	4
124	к содержанию	2	4
125	равно как	2	4
126	свободы и	2	4
127	не во	4	4
128	в наше	3	4
129	не знает	6	4
130	по своему	4	4
131	к духу	2	4
132	это есть	7	4
133	с его	6	4
134	но она	2	4
135	нашего времени	2	4
136	такой же	2	4
137	перейти к	3	4
138	стремление к	2	4
139	жизни все	2	3
140	должно было	2	3
141	должен быть	5	3
142	к ее	3	3
143	самый процесс	2	3
144	быть в	2	3
145	для этого	2	3
146	еще до	2	3
147	в новом	2	3
148	как будто	2	3
149	но для	2	3
150	как это	2	3
151	со всех	4	3
152	значит что	4	3
153	совсем не	12	3
154	всех сторон	4	3
155	наше время	4	3
156	жизни не	3	3
157	и весь	2	3
158	не значит	3	3
159	к более	2	2
160	роль в	2	2
161	духовной жизни	2	2
162	ни к	2	2
163	ни одна	2	2
164	времени в	2	2
165	формы и	2	2
166	жизни к	4	2
167	эти формы	3	2
168	который в	2	2
169	не могли	2	2
170	с их	2	2
171	этот мир	2	2
172	и формы	2	2
173	и начинается	2	2
174	есть лишь	4	2
175	люди не	2	2
176	не хотим	2	2
177	и должно	2	2
178	лицом к	3	2
179	духа в	2	2
180	это и	2	2
181	в прошлом	3	2
182	и было	2	2
183	для чего	2	2
184	перейти от	3	2
185	же как	2	2
186	познания и	2	2
187	я не	2	2
188	истории и	9	2
189	себя в	2	2
190	с ее	5	2
191	переход к	2	2
192	нет и	2	2
193	к лицу	3	2
