N	2gram	Tiupa_Narr	Sovremen
1	не может	16	17
2	точки зрения	8	12
3	может быть	24	12
4	таким образом	5	11
5	мы не	5	9
6	не можем	2	7
7	и в	22	7
8	в этом	23	7
9	и не	34	6
10	ничего не	8	6
11	как и	15	6
12	в результате	4	6
13	мы можем	2	6
14	с точки	2	5
15	все эти	3	5
16	и наконец	2	5
17	прежде всего	7	5
18	зависимости от	3	4
19	это не	6	4
20	не только	50	4
21	в том	20	4
22	в зависимости	3	4
23	как бы	11	4
24	их в	4	4
25	точку зрения	3	4
26	в целом	5	4
27	жизни и	7	4
28	вместе с	3	4
29	а в	19	4
30	из них	4	4
31	с помощью	2	4
32	для нас	2	3
33	не подлежит	3	3
34	и т.д	7	3
35	и потому	2	3
36	но в	10	3
37	при этом	31	3
38	не в	12	3
39	все же	10	3
40	как он	3	3
41	было бы	2	3
42	в области	4	3
43	в себе	14	3
44	еще не	6	3
45	одна из	5	3
46	у нас	4	3
47	и все	7	3
48	в нем	9	3
49	между собой	3	3
50	а не	27	3
51	в первом	4	3
52	и к	7	3
53	на две	2	3
54	что она	3	3
55	в этой	8	3
56	то же	12	3
57	в одном	5	3
58	отнюдь не	6	3
59	в конце	4	3
60	ясно что	2	3
61	на этот	2	2
62	и по	3	2
63	же самое	3	2
64	всяком случае	2	2
65	которой он	4	2
66	быть и	3	2
67	роль в	4	2
68	каждого из	2	2
69	можно назвать	2	2
70	а на	2	2
71	не менее	6	2
72	той же	2	2
73	в третьем	4	2
74	в его	12	2
75	к чему	3	2
76	то и	3	2
77	во всяком	2	2
78	такого рода	17	2
79	приводит к	2	2
80	свою очередь	2	2
81	из этих	6	2
82	так сказать	4	2
83	в самом	8	2
84	она может	2	2
85	в виде	2	2
86	что в	6	2
87	времени и	9	2
88	в таком	4	2
89	в которой	2	2
90	у него	13	2
91	самом деле	4	2
92	со всеми	3	2
93	уже не	11	2
94	в свою	4	2
95	по мнению	2	2
96	если же	2	2
97	в нашем	4	2
98	жизни мы	2	2
99	в отличие	6	2
100	отличие от	6	2
101	это за	2	2
102	с одной	5	2
103	как мы	3	2
104	что это	4	2
105	этих двух	2	2
106	или иной	6	2
107	тем не	7	2
108	о жизни	2	2
109	как известно	3	2
110	и даже	4	2
111	тем же	3	2
