N	2gram	Propp_Russ	VeschiIm
1	т е	41	81
2	и не	6	57
3	не только	28	48
4	то что	10	48
5	не может	6	46
6	и в	59	45
7	может быть	14	39
8	и т	13	39
9	т д	12	38
10	а не	3	37
11	значит что	2	32
12	потому что	15	25
13	было бы	3	24
14	не просто	3	24
15	что она	4	23
16	только в	4	23
17	и что	8	22
18	и следовательно	2	20
19	как бы	18	20
20	и ее	3	19
21	что это	4	19
22	но и	20	19
23	все же	7	18
24	в этом	18	18
25	и это	2	17
26	прежде всего	2	17
27	так как	25	17
28	того что	6	16
29	таким образом	10	16
30	в том	33	15
31	как и	19	15
32	в ней	3	15
33	уже не	9	15
34	не в	2	14
35	и то	2	14
36	но это	5	14
37	том что	33	13
38	а и	7	13
39	есть и	2	13
40	и для	3	13
41	ничего не	4	12
42	иное как	3	12
43	но если	2	12
44	что в	35	12
45	точки зрения	3	12
46	что и	8	12
47	что они	8	12
48	и как	2	12
49	не что	3	12
50	то же	6	12
51	еще не	7	12
52	что иное	3	12
53	о том	14	12
54	и с	12	12
55	не значит	2	12
56	в то	3	11
57	не менее	3	11
58	тем не	3	11
59	и их	4	11
60	и пр	4	11
61	это не	14	9
62	так что	4	9
63	в своем	3	9
64	то и	4	9
65	она не	4	9
66	должно быть	2	9
67	у нас	11	9
68	на то	2	9
69	но не	7	9
70	но что	2	9
71	говорить о	2	9
72	и его	2	9
73	с ним	2	9
74	его в	9	8
75	и потому	3	8
76	что он	2	8
77	но в	5	8
78	мы не	11	8
79	себя и	2	8
80	все это	12	8
81	с другими	3	8
82	мы имеем	7	8
83	в свете	5	8
84	с тем	14	8
85	что есть	2	8
86	не с	5	8
87	отнюдь не	3	8
88	из них	12	7
89	а в	16	7
90	все эти	5	7
91	е в	17	7
92	или не	2	7
93	тем что	7	7
94	с этой	2	7
95	оно не	2	7
96	вопрос о	4	6
97	независимо от	3	6
98	когда мы	2	6
99	и все	4	6
100	в нем	3	6
101	в разных	3	6
102	и до	3	6
103	как мы	11	6
104	одна из	12	6
105	в данном	7	6
106	можно было	3	6
107	этот вопрос	4	6
108	их в	7	6
109	несмотря на	4	6
110	с точки	3	6
111	как только	2	6
112	в одном	4	6
113	мы должны	3	5
114	должен быть	2	5
115	свою очередь	2	5
116	вместе с	16	5
117	как это	11	5
118	между прочим	2	5
119	тогда когда	4	5
120	один из	10	5
121	на себя	4	5
122	мы видим	2	5
123	в его	3	5
124	хотя и	3	5
125	быть и	3	5
126	для этого	6	5
127	во всех	6	5
128	в которой	3	5
129	об этом	11	5
130	и здесь	3	5
131	кроме того	3	5
132	ее с	2	5
133	в жизни	2	5
134	подобно тому	3	5
135	что у	3	5
136	что для	4	5
137	все что	2	5
138	в свою	3	5
139	как можно	3	5
140	тому как	3	5
141	о них	2	4
142	так же	7	4
143	в силу	2	4
144	и у	5	4
145	что именно	3	4
146	или другие	3	4
147	в их	5	4
148	так и	8	4
149	в отдельности	2	4
150	только тогда	3	4
151	что все	2	4
152	в этой	4	4
153	то время	3	4
154	же не	2	4
155	так чтобы	2	4
156	того чтобы	6	4
157	в качестве	5	4
158	не было	3	4
159	тот же	2	4
160	с ними	6	4
161	и от	2	4
162	и всем	2	4
163	тут же	2	4
164	с этим	4	4
165	судить о	2	4
166	есть в	2	4
167	дело не	2	4
168	и еще	2	4
169	к ней	4	4
170	мы можем	2	4
171	в особенности	3	4
