N	2gram	Bakhtin_Pr	UchenyiS
1	и в	83	14
2	не только	14	10
3	а не	19	10
4	и не	41	8
5	прежде всего	20	8
6	то что	14	7
7	не может	18	7
8	в этом	24	7
9	может быть	23	6
10	то же	10	5
11	хотя бы	6	5
12	все это	11	5
13	но и	16	4
14	в этой	3	4
15	с другой	4	4
16	в их	7	4
17	конечно не	11	4
18	не о	2	3
19	у нас	2	3
20	для этого	2	3
21	и т.д	5	3
22	это не	10	3
23	вряд ли	2	3
24	и то	2	3
25	в своей	5	3
26	все же	3	3
27	не как	5	3
28	как и	13	3
29	в то	8	3
30	но в	12	3
31	этой области	2	3
32	же время	8	3
33	и формы	2	3
34	или точнее	2	3
35	было бы	6	3
36	в области	6	3
37	другой стороны	3	3
38	в самом	7	2
39	в себе	10	2
40	что мы	2	2
41	и у	8	2
42	мы и	4	2
43	в широком	2	2
44	о чем	2	2
45	же не	2	2
46	что он	6	2
47	крайней мере	2	2
48	литературы и	4	2
49	к области	2	2
50	таким образом	9	2
51	формы и	3	2
52	но не	9	2
53	и для	5	2
54	между тем	2	2
55	только в	10	2
56	одним из	6	2
57	этом смысле	5	2
58	что она	2	2
59	ничего не	8	2
60	всех этих	2	2
61	даже и	3	2
62	и с	10	2
63	тех или	2	2
64	но конечно	3	2
65	что и	4	2
66	или иных	2	2
67	по крайней	2	2
68	могут быть	5	2
69	а между	3	2
70	меньшей степени	6	2
71	и через	5	2
72	не могут	4	2
73	смысле этого	3	2
74	это было	3	2
75	превращается в	5	2
76	сих пор	8	2
77	по себе	3	2
78	тем что	2	2
79	том что	9	2
80	а как	4	2
81	в его	15	2
82	это уже	2	2
83	все они	2	2
84	в том	22	2
85	что все	3	2
86	с его	4	2
87	как раз	6	2
88	но это	7	2
89	для всех	2	2
90	по существу	7	2
91	установку на	2	2
92	не в	10	2
93	бы и	3	2
94	в конце	5	2
95	в некоторых	7	2
96	мы не	7	2
97	до сих	8	2
98	могли бы	2	2
99	именно как	3	2
