N	2gram	Medvedev_U	Formalny
1	и в	14	95
2	и не	8	78
3	может быть	6	66
4	в этом	7	61
5	не может	7	57
6	таким образом	2	52
7	в его	2	42
8	прежде всего	8	41
9	как и	3	39
10	художественного произведения	2	36
11	не в	2	35
12	в самом	2	35
13	формального метода	9	34
14	а не	10	34
15	но и	4	33
16	то же	5	32
17	самом деле	2	32
18	истории литературы	3	31
19	не только	10	30
20	в том	2	26
21	если бы	2	26
22	то что	7	25
23	в своей	3	24
24	было бы	3	23
25	в то	3	22
26	и с	2	21
27	в их	4	20
28	формальный метод	11	20
29	же время	3	20
30	не могут	2	19
31	все это	5	19
32	хотя бы	5	19
33	художественное произведение	5	19
34	по себе	2	19
35	все же	3	18
36	в шкловский	2	18
37	должна быть	2	18
38	с его	2	18
39	только в	2	18
40	именно как	2	17
41	как раз	2	17
42	в искусстве	6	16
43	с другой	4	16
44	но в	3	15
45	что он	2	14
46	в этой	4	14
47	могут быть	2	13
48	что и	2	13
49	сводится к	2	13
50	тем что	2	13
51	как таковой	2	13
52	и для	2	12
53	этом отношении	2	11
54	но не	2	11
55	то ни	3	11
56	для него	3	11
57	между тем	2	11
58	не о	3	10
59	не есть	2	10
60	не как	3	10
61	в художественном	5	10
62	формы и	2	10
63	мы не	2	10
64	по существу	2	10
65	бы то	3	10
66	другой стороны	3	10
67	материала и	2	10
68	конечно не	4	10
69	ничего не	2	9
70	но это	2	9
71	у нас	3	9
72	литературы и	2	9
73	ни было	3	9
74	это не	3	8
75	в шкловского	2	8
76	до сих	2	8
77	в области	3	8
78	для этого	3	8
79	всех этих	2	8
80	сих пор	2	8
81	как такового	3	8
82	и является	2	8
83	в сторону	2	8
84	не следует	3	8
85	том что	2	7
86	в себе	2	7
87	даже и	2	7
88	художественном произведении	2	7
89	и прием	2	7
90	и только	5	7
91	в конце	2	6
92	в россии	4	6
93	в частности	3	6
94	его и	2	6
95	смысле этого	2	6
96	художественных произведений	2	6
97	при таком	2	6
98	произведения искусства	3	6
99	в широком	2	5
100	и формы	3	5
101	а как	2	5
102	не приходится	2	5
103	бы и	2	5
104	и то	3	5
105	не столько	2	5
106	а о	2	5
107	перестает быть	5	5
108	как прием	2	5
109	этом смысле	2	5
110	очевидно что	3	4
111	но даже	2	4
112	является в	2	4
113	одним из	2	4
114	конце концов	2	4
115	должна была	2	4
116	литературной науки	4	4
117	превращается в	2	4
118	теоретической поэтики	2	4
119	материал как	2	4
120	что такое	4	4
121	в некоторых	2	4
122	мы и	2	4
123	все они	2	3
124	поэтики на	2	3
125	для всех	2	3
126	противном случае	2	3
127	о формальном	3	3
128	к сожалению	3	3
129	вопроса о	2	3
130	но конечно	2	3
131	материал для	2	3
132	или точнее	3	3
133	этого термина	2	3
134	и через	2	3
135	вряд ли	3	3
136	что материал	2	3
137	это было	2	3
138	на первый	2	3
139	фактов и	2	3
140	формы в	3	3
141	пришлось бы	3	3
142	в системе	2	3
143	в противном	2	3
144	с проблемой	2	3
145	в противовес	2	3
146	же самое	2	3
147	художественного творчества	5	3
148	о чем	2	2
149	материал не	2	2
150	искусства как	2	2
151	это уже	2	2
152	представляется нам	2	2
153	только к	3	2
154	же не	2	2
155	прием и	2	2
156	что она	2	2
157	установку на	2	2
158	художественной формы	2	2
159	или иных	2	2
160	предмет изучения	2	2
161	их и	2	2
162	что мы	2	2
163	тех или	2	2
