N	2gram	Tiupa_Narr	OGranits
1	и в	22	13
2	и его	12	12
3	прежде всего	7	9
4	и не	34	8
5	не может	16	8
6	может быть	24	8
7	в его	12	7
8	точки зрения	8	7
9	и т.п	11	7
10	не только	50	6
11	как бы	11	6
12	таким образом	5	6
13	только в	23	6
14	то что	14	6
15	и т.д	7	5
16	все же	10	5
17	с точки	2	5
18	и наконец	2	5
19	хотя бы	4	5
20	в процессе	2	5
21	мы можем	2	4
22	но в	10	4
23	лишь в	3	4
24	то же	12	4
25	в сознании	6	4
26	не является	7	4
27	в своей	8	4
28	было бы	2	4
29	в двух	2	4
30	мы не	5	4
31	на фоне	2	4
32	никогда не	8	3
33	да и	5	3
34	одно и	2	3
35	и для	4	3
36	и то	3	3
37	и все	7	3
38	в ее	4	3
39	превращается в	2	3
40	отношению к	5	3
41	и уже	4	3
42	как и	15	3
43	в пределах	2	3
44	не в	12	3
45	в себе	14	3
46	что в	6	3
47	по отношению	5	3
48	точку зрения	3	3
49	но для	5	3
50	самом деле	4	3
51	так и	12	3
52	в которой	2	3
53	т.п и	2	3
54	в одном	5	3
55	но и	39	3
56	не столько	2	3
57	в самом	8	2
58	собственно говоря	3	2
59	своего рода	17	2
60	в этом	23	2
61	для себя	3	2
62	данном случае	12	2
63	в том	20	2
64	в целом	5	2
65	если бы	9	2
66	в произведении	2	2
67	с одной	5	2
68	не имеет	3	2
69	или иного	3	2
70	зависимости от	3	2
71	роль в	4	2
72	во времени	9	2
73	в действительности	2	2
74	с другой	6	2
75	а в	19	2
76	которое может	2	2
77	и тем	9	2
78	том что	15	2
79	того или	3	2
80	а как	2	2
81	а также	11	2
82	и к	7	2
83	в связи	3	2
84	в зависимости	3	2
85	в данном	17	2
86	не менее	6	2
87	с ними	5	2
88	все эти	3	2
89	в области	4	2
90	так же	2	2
91	иным как	2	2
92	героя и	4	2
93	с этой	3	2
94	в своих	2	2
95	в нем	9	2
96	при этом	31	2
97	сознания и	2	2
98	и ее	3	2
99	а не	27	2
100	чем иным	2	2
101	в ней	5	2
102	вслед за	4	2
103	на две	2	2
104	входит в	2	2
105	еще в	4	2
106	как в	9	2
107	другой стороны	2	2
108	и является	2	2
109	одной стороны	5	2
110	бы в	2	2
111	между тем	5	2
112	в чем	3	2
113	имеет место	4	2
114	соответствии с	7	2
115	в другом	5	2
116	вовсе не	2	2
117	к тому	13	2
118	не мог	7	2
119	с помощью	2	2
120	для него	8	2
