N	2gram	Berdyaev_N	SlovoVZh
1	не может	16	16
2	может быть	7	14
3	и в	16	12
4	и не	11	10
5	прежде всего	4	8
6	сказать что	3	7
7	все время	2	6
8	в том	8	6
9	в нем	5	6
10	к содержанию	2	6
11	в ней	5	6
12	никогда не	6	5
13	как в	3	5
14	в жизни	5	5
15	но в	2	5
16	том что	2	5
17	как и	7	5
18	должна быть	3	5
19	хотя бы	2	5
20	а не	17	5
21	то что	4	5
22	в этом	7	4
23	не только	5	4
24	жизни и	8	4
25	не в	6	4
26	с другой	3	4
27	за пределы	3	4
28	и к	5	4
29	так и	2	4
30	и на	2	4
31	уже не	2	4
32	в них	4	3
33	о том	4	3
34	и для	4	3
35	не к	2	3
36	ни в	6	3
37	все эти	2	3
38	так же	2	3
39	в своей	3	3
40	мы не	2	3
41	конечно не	3	3
42	в себе	2	3
43	еще не	3	3
44	все это	5	3
45	и с	2	3
46	но для	2	3
47	не менее	4	3
48	формы и	2	3
49	и пр	3	3
50	ведь и	2	3
51	но и	3	3
52	что в	9	2
53	к ним	3	2
54	не есть	3	2
55	место в	2	2
56	с его	6	2
57	как не	8	2
58	это не	4	2
59	и все	4	2
60	она не	3	2
61	все они	2	2
62	зависит от	2	2
63	и что	2	2
64	в то	2	2
65	перестает быть	4	2
66	одной стороны	2	2
67	но это	6	2
68	он не	8	2
69	такой же	2	2
70	и потому	4	2
71	но не	2	2
72	как это	2	2
73	могут быть	2	2
74	с одной	2	2
75	другой стороны	2	2
76	вместе с	2	2
77	со всех	4	2
