N	2gram	Losev_Vlad	Psycholo
1	то что	30	193
2	и в	56	190
3	в том	26	163
4	что в	24	123
5	потому что	16	114
6	том что	22	113
7	и что	11	108
8	может быть	12	107
9	таким образом	6	102
10	в этом	30	100
11	то есть	5	97
12	в самом	3	82
13	как бы	5	80
14	для того	4	78
15	того чтобы	4	78
16	что он	22	76
17	не только	35	75
18	на то	7	73
19	и не	33	73
20	что она	2	71
21	и т	3	69
22	точки зрения	4	69
23	не может	12	68
24	так как	11	63
25	так же	4	63
26	было бы	7	56
27	если бы	2	55
28	и мы	6	54
29	то же	10	54
30	о том	13	54
31	при этом	5	52
32	как и	7	51
33	что и	6	50
34	а не	5	50
35	что это	2	49
36	только в	11	46
37	в сущности	2	46
38	сказать что	14	46
39	по себе	3	46
40	к тому	5	45
41	говорит что	4	45
42	не в	12	45
43	в этой	4	43
44	ясно что	2	43
45	никогда не	15	42
46	и все	8	42
47	вместе с	9	41
48	с и	4	40
49	как это	11	40
50	но и	26	40
51	как раз	7	39
52	того что	6	39
53	и это	4	37
54	и как	7	36
55	с тем	4	35
56	вовсе не	8	34
57	и если	8	34
58	и его	12	34
59	как на	2	34
60	что все	2	33
61	когда он	6	33
62	все же	11	33
63	все это	7	32
64	в себе	5	32
65	в ней	5	31
66	мы не	2	31
67	в его	18	31
68	он не	13	31
69	для нас	9	31
70	никак не	6	30
71	как будто	2	30
72	мы увидим	4	30
73	как в	6	30
74	и для	4	29
75	в нас	4	29
76	в нем	7	29
77	что мы	2	28
78	что они	4	28
79	и то	13	28
80	с другой	3	27
81	в своих	7	27
82	а в	20	27
83	и на	7	27
84	так что	13	26
85	совершенно не	2	26
86	и здесь	3	25
87	только что	2	25
88	жизни и	8	25
89	до конца	8	24
90	в целом	3	24
91	указывает на	2	24
92	и совершенно	2	24
93	тем что	2	24
94	в своем	10	23
95	из этого	6	23
96	что если	3	23
97	один из	4	23
98	и даже	23	22
99	т д	3	22
100	что у	4	22
101	когда мы	2	22
102	с этим	3	22
103	из них	3	22
104	в своей	7	21
105	как мы	17	21
106	и вот	5	21
107	в конце	22	21
108	но только	3	21
109	том чтобы	4	21
110	ни в	4	21
111	в котором	10	21
112	той же	6	21
113	она не	3	20
114	все эти	6	20
115	в то	15	20
116	тот же	7	20
117	это не	3	20
118	дело с	2	20
119	несмотря на	7	20
120	мы имеем	2	20
121	другой стороны	3	20
122	на этом	3	20
123	мы должны	3	19
124	он говорит	2	19
125	у него	28	19
126	в одном	2	19
127	мы уже	8	19
128	в каком	3	18
129	но в	19	18
130	что с	3	18
131	но не	5	18
132	в которой	8	18
133	с этой	4	18
134	и есть	2	18
135	что для	5	17
136	только не	2	17
137	во всяком	8	17
138	у нас	11	17
139	из этих	5	17
140	но это	6	17
141	и о	6	17
142	время как	3	17
143	так и	11	16
144	не имеет	2	16
145	и к	10	16
146	от того	2	16
147	и тем	2	16
148	то это	4	16
149	к этому	11	16
150	в таком	2	16
151	и потому	8	15
152	мы знаем	5	15
153	еще не	2	15
154	не могут	2	15
155	только на	3	15
156	в частности	4	15
157	в них	5	15
158	во всех	4	15
159	в результате	6	15
160	для него	16	15
161	и так	3	15
162	о котором	2	15
163	что на	2	14
164	не то	3	14
165	хотя бы	5	14
166	главным образом	5	14
167	по существу	4	14
168	с ним	10	14
169	это и	2	14
170	прежде всего	5	14
171	в области	3	14
172	того как	2	14
173	этом отношении	2	14
174	в жизни	4	14
175	те же	2	14
176	всяком случае	8	14
177	то время	6	14
178	этих двух	2	14
179	но он	7	14
180	должен был	3	13
181	как он	4	13
182	а с	5	13
183	не могли	2	13
184	именно в	4	13
185	отнюдь не	3	13
186	едва ли	3	13
187	со стороны	5	13
188	и он	7	13
189	знаем что	2	13
190	в той	2	13
191	того же	11	12
192	что этот	4	12
193	в этих	5	12
194	их в	3	12
195	конце концов	6	12
196	в свою	3	12
197	ничего не	4	12
198	и очень	5	12
199	не менее	9	12
200	и другие	2	12
201	что не	3	12
202	и до	4	12
203	я не	8	12
204	это в	2	12
205	об этом	13	12
206	что его	8	12
207	и с	27	12
208	бы мы	2	11
209	как к	4	11
210	и из	5	11
211	так например	3	11
212	и сейчас	2	11
213	поэзии и	2	11
214	и других	2	11
215	его в	3	11
216	по поводу	15	11
217	на все	3	11
218	но мы	3	11
219	с его	15	11
220	на это	2	11
221	на этот	9	11
222	уже в	9	11
223	не было	12	11
224	конечно не	5	11
225	от него	3	10
226	в тех	3	10
227	здесь мы	4	10
228	это было	9	10
229	во всем	4	10
230	но как	6	10
231	и у	4	10
232	в их	2	10
233	совсем не	7	10
234	нам кажется	2	10
235	с теми	2	10
236	и от	6	10
237	тому же	3	10
238	тем самым	2	9
239	на основании	3	9
240	на его	7	9
241	то как	2	9
242	и по	10	9
243	под влиянием	6	9
244	на него	3	9
245	и наконец	2	9
246	но все	3	9
247	не есть	4	9
248	мы будем	4	9
249	о чем	6	9
250	в виде	4	9
251	но что	5	9
252	в чем	4	9
253	по своему	5	9
254	с в	6	9
255	ответ на	2	9
256	так сказать	2	9
257	по этому	3	9
258	точно так	2	9
259	что даже	2	9
260	можно сказать	10	9
261	из его	6	9
262	его и	2	9
263	в самых	2	9
264	по его	3	9
265	не к	2	9
266	он все	2	8
267	этому поводу	2	8
268	что же	11	8
269	и во	3	8
270	которой мы	3	8
271	кажется что	3	8
272	и тот	2	8
273	себе и	2	8
274	жизни с	2	8
275	представление о	2	8
276	о нем	9	8
277	в произведении	2	8
278	в общем	4	8
279	он в	4	8
280	место в	2	8
281	во время	4	8
282	больше чем	2	8
283	уже давно	3	8
284	к нему	6	8
285	жизнь и	3	8
286	и вообще	12	8
287	будто бы	2	8
288	этом смысле	4	8
289	в москву	3	8
290	что здесь	2	7
291	бы его	2	7
292	себе не	2	7
293	свою очередь	2	7
294	для всех	2	7
295	ни одного	2	7
296	если это	2	7
297	здесь в	2	7
298	связи с	7	7
299	к которой	2	7
300	время в	4	7
301	дело в	7	7
302	нас в	2	7
303	которого мы	2	7
304	что такое	3	7
305	все что	2	7
306	это можно	3	7
307	же в	3	7
308	в нашем	5	7
309	и при	2	7
310	есть нечто	2	7
311	и действительно	3	7
312	в качестве	7	7
313	до тех	2	7
314	мысли и	5	7
315	и которая	2	7
316	в особенности	4	7
317	в течение	13	7
318	к этой	4	7
319	с которым	4	7
320	к жизни	2	7
321	взгляд на	4	7
322	в отношении	5	6
323	нисколько не	4	6
324	для нее	3	6
325	отношение к	7	6
326	то мы	3	6
327	он же	2	6
328	еще более	3	6
329	и без	2	6
330	не могла	3	6
331	за пределы	3	6
332	того и	3	6
333	вот что	7	6
334	тем не	8	6
335	иное как	2	6
336	мы сейчас	7	6
337	что иное	2	6
338	или менее	5	6
339	и затем	2	6
340	только после	2	6
341	один и	2	6
342	у меня	3	6
343	без всякого	2	6
344	даже в	4	6
345	которые в	2	6
346	не что	2	6
347	после этого	2	6
348	и ни	2	6
349	больше того	2	6
350	она была	2	6
351	тех пор	2	6
352	и просто	3	6
353	о его	7	6
354	он был	20	6
355	образом в	2	6
356	да и	6	6
357	очень часто	2	6
358	то и	3	6
359	всех этих	3	6
360	к ней	7	6
361	в первый	2	6
362	что касается	6	6
363	более или	5	6
364	ее на	3	6
365	почему он	2	6
366	что я	5	6
367	уже не	6	6
368	к его	5	6
369	заметить что	2	6
370	в русском	2	6
371	только одно	4	6
372	пор пока	2	6
373	это мы	5	6
374	еще и	10	5
375	что дело	2	5
376	на эту	3	5
377	вернее сказать	2	5
378	столько же	2	5
379	и всегда	4	5
380	между ними	2	5
381	том же	4	5
382	у них	2	5
383	на вопрос	2	5
384	и теперь	4	5
385	то в	6	5
386	и часто	3	5
387	это делает	3	5
388	он сказал	2	5
389	но даже	3	5
390	не мог	10	5
391	учения о	3	5
392	им в	3	5
393	которые он	2	5
394	имеет никакого	2	5
395	всей этой	2	5
396	бы то	2	5
397	чем в	2	5
398	однако он	2	5
399	в очень	5	5
400	его к	3	5
401	он дает	2	5
402	этой области	2	5
403	его не	2	5
404	мы находим	2	5
405	и больше	3	5
406	указать на	2	5
407	и еще	3	5
408	и кажется	3	5
409	хотя и	9	5
410	но она	4	5
411	он как	4	5
412	себя в	6	5
413	дело не	3	5
414	в последнее	2	5
415	указывал на	3	5
416	и сам	7	5
417	нет и	2	5
418	а то	2	5
419	он прямо	2	5
420	которых он	2	5
421	чтобы он	3	5
422	отношения к	4	5
423	и за	3	5
424	сейчас увидим	2	4
425	вплоть до	4	4
426	само собой	2	4
427	начала и	2	4
428	также и	13	4
429	от своего	2	4
430	к своему	4	4
431	говорил что	2	4
432	но по	2	4
433	то о	2	4
434	не по	2	4
435	никак нельзя	3	4
436	для своего	2	4
437	нам в	2	4
438	почти не	2	4
439	обстоятельство что	2	4
440	ли он	2	4
441	в истории	4	4
442	всю жизнь	4	4
443	которую он	6	4
444	мы с	4	4
445	без всяких	2	4
446	как у	3	4
447	после того	2	4
448	с с	5	4
449	его жизни	12	4
450	для его	2	4
451	если не	4	4
452	к числу	2	4
453	и никогда	2	4
454	за то	2	4
455	в каких	2	4
456	в настоящее	2	4
457	в это	6	4
458	говоря о	2	4
459	но эта	2	4
460	его от	2	4
461	бы на	2	4
462	весь этот	2	4
463	с которой	2	4
464	настоящее время	2	4
465	мне кажется	2	4
466	здесь не	6	4
467	с ними	2	4
468	мы читаем	6	4
469	в связи	9	4
470	в порядке	2	4
471	литературы и	2	4
472	с которыми	2	4
473	произведения как	2	4
474	одной из	2	4
475	с этими	4	4
476	с ней	3	4
477	к концу	7	4
478	кто не	2	4
479	где он	5	4
480	во сне	2	4
481	отношении к	2	4
482	хотел бы	2	4
483	не могу	2	4
484	природы и	2	4
485	же время	7	4
486	и хотя	3	4
487	совершенно разные	2	4
488	которого он	2	3
489	его на	4	3
490	одним из	3	3
491	для себя	6	3
492	и тут	2	3
493	от нас	2	3
494	с первого	2	3
495	значение для	2	3
496	толстого в	4	3
497	в более	3	3
498	не из	2	3
499	вероятно не	2	3
500	что можно	4	3
501	в полной	3	3
502	вот эта	2	3
503	этом не	3	3
504	по одному	2	3
505	как нечто	2	3
506	уже и	4	3
507	а также	12	3
508	на котором	2	3
509	его как	2	3
510	в теории	2	3
511	к себе	2	3
512	на первый	4	3
513	кроме того	12	3
514	по своим	3	3
515	ни к	2	3
516	к той	2	3
517	то он	7	3
518	очень много	2	3
519	ней не	2	3
520	личности и	2	3
521	еще в	5	3
522	увидим ниже	5	3
523	ним в	3	3
524	со своей	5	3
525	которой он	7	3
526	теми же	2	3
527	пока еще	2	3
528	те времена	7	3
529	о которой	3	3
530	меня в	2	3
531	раз из	2	3
532	на что	2	3
533	мы и	4	3
534	бы с	2	3
535	то обстоятельство	2	3
536	для меня	8	3
537	в ответ	2	3
538	он никогда	2	3
539	такого рода	4	3
540	даже не	3	3
541	обратить внимание	2	3
542	существу дела	2	3
543	как известно	2	3
544	по учению	2	3
