N	3gram	Tiupa_Hudo	StatiiOP
1	в том что	15	47
2	и т д	5	32
3	о том что	14	29
4	в этом отношении	4	24
5	для того чтобы	2	19
6	и т п	10	19
7	до сих пор	3	19
8	с точки зрения	5	14
9	не может быть	5	11
10	в то же	11	9
11	в самом деле	5	9
12	то же время	11	9
13	на то что	2	9
14	можно было бы	5	9
15	тем не менее	6	8
16	не только в	4	8
17	к тому что	8	8
18	в данном случае	3	7
19	не в том	2	7
20	и в этом	3	7
21	но все же	2	7
22	по отношению к	15	6
23	так же как	2	6
24	том что в	4	6
25	не только не	3	6
26	речь идет о	2	6
27	что же касается	2	5
28	что он не	3	5
29	как раз в	2	5
30	в это время	2	4
31	и в самом	4	4
32	в связи с	3	4
33	с одной стороны	4	4
34	так или иначе	3	4
35	того или иного	4	4
36	в русской литературе	3	3
37	в первую очередь	2	3
38	только в том	4	3
39	о том как	4	3
40	состоит в том	3	3
41	только потому что	2	3
42	в значительной степени	3	3
43	что у него	2	3
44	в равной мере	2	2
45	то же самое	3	2
46	это прежде всего	2	2
47	в этих словах	2	2
48	но в то	3	2
49	то что я	2	2
50	одних и тех	2	2
51	как и в	5	2
52	с того что	2	2
53	а между тем	3	2
54	и в то	2	2
55	и тех же	2	2
