N	2gram	Tiupa_Vved	VelikijI
1	и не	24	20
2	и в	23	16
3	то что	9	9
4	еще не	8	8
5	и потому	2	7
6	что они	2	7
7	а не	31	7
8	не есть	2	6
9	в мире	9	5
10	как бы	8	5
11	на себя	5	5
12	но и	31	5
13	все это	3	5
14	хотя и	10	5
15	того что	7	5
16	и все	8	4
17	как и	21	4
18	в котором	11	4
19	потому что	7	4
20	все что	3	4
21	в нем	9	4
22	в ней	5	4
23	что не	2	4
24	что мы	2	4
25	в его	9	4
26	говорить о	5	4
27	в этом	27	4
28	что он	2	4
29	и есть	2	4
30	так и	14	4
31	никогда не	6	3
32	в жизни	7	3
33	что в	6	3
34	в том	21	3
35	и для	8	3
36	не имеет	3	3
37	тому что	2	3
38	но в	14	3
39	к тому	9	3
40	их в	3	3
41	нет ничего	2	3
42	но это	4	3
43	бы и	4	3
44	оно не	2	3
45	хотя бы	2	3
46	в своей	10	3
47	во всех	2	3
48	в конце	3	3
49	в них	4	3
50	жизни и	8	3
51	что и	6	3
52	не было	5	3
53	лишь в	4	3
54	и что	2	3
55	не в	12	3
56	в этих	5	3
57	что я	2	3
58	должна быть	3	3
59	в чем	2	3
60	когда в	2	2
61	да и	3	2
62	одна из	5	2
63	но не	9	2
64	тот кто	2	2
65	от этих	2	2
66	ее и	2	2
67	и это	2	2
68	это не	7	2
69	не только	32	2
70	а в	15	2
71	том что	16	2
72	своей истории	2	2
73	и во	2	2
74	а к	3	2
75	во всяком	3	2
76	вслед за	3	2
77	уже не	7	2
78	могут быть	5	2
79	не к	4	2
80	которые не	2	2
81	значения и	2	2
82	один из	3	2
83	в смысл	2	2
84	для них	3	2
85	того чтобы	2	2
86	мира в	8	2
87	тем что	2	2
88	мы не	6	2
89	можно было	2	2
90	только в	9	2
91	и сам	2	2
92	все равно	2	2
93	для нас	4	2
94	прежде всего	11	2
95	вместо того	2	2
96	с ним	3	2
97	между тем	3	2
98	мы и	2	2
99	а с	4	2
100	для него	5	2
101	не с	4	2
