N	3gram	Voloshinov	Istorich
1	до сих пор	3	30
2	с одной стороны	2	28
3	мы знаем что	6	26
4	в том что	9	25
5	не может быть	14	24
6	тем не менее	4	23
7	о том что	3	22
8	мы видели что	3	16
9	в данном случае	4	15
10	мы уже знаем	3	15
11	по отношению к	11	14
12	мы увидим что	4	13
13	как мы видели	8	12
14	что и в	2	10
15	в таких случаях	2	9
16	но вместе с	2	8
17	то же самое	2	8
18	на этот вопрос	3	8
19	в зависимости от	4	8
20	во всяком случае	8	7
21	в большинстве случаев	5	7
22	с самого начала	5	6
23	мы не можем	3	6
24	на самом деле	4	5
25	для того чтобы	3	5
26	так и в	3	5
27	в отличие от	2	5
28	в другом месте	2	5
29	это и есть	2	4
30	можно сказать что	5	4
31	с точки зрения	15	4
32	и может быть	2	4
33	и тем не	2	4
34	только то что	3	4
35	все то что	3	3
36	бы то ни	3	3
37	но мы знаем	2	3
38	то ни было	2	3
39	таким образом в	2	3
40	и тот же	3	3
41	один из них	2	3
42	к тому что	2	3
43	один и тот	3	3
44	в связь с	2	2
45	в самом деле	10	2
46	сам по себе	4	2
47	может быть и	6	2
48	он не только	2	2
49	наступления половой зрелости	2	2
50	далеко не всегда	3	2
51	не могут быть	4	2
52	может быть это	2	2
53	на самом же	2	2
54	к тому чтобы	3	2
55	мы должны прежде	2	2
56	самом же деле	2	2
57	и не может	3	2
58	должны прежде всего	2	2
59	и прежде всего	7	2
60	на первый план	4	2
61	том что он	2	2
62	вовсе не в	2	2
63	том что она	2	2
64	то обстоятельство что	2	2
65	и той же	3	2
66	в таком случае	4	2
67	одной и той	3	2
68	в свою очередь	4	2
69	равно как и	2	2
