N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	12	46
2	не может быть	14	25
3	в самом деле	13	19
4	в то же	2	15
5	то же время	2	15
6	в связи с	2	14
7	в том что	21	14
8	в русском языке	3	14
9	бы то ни	2	12
10	и не может	2	12
11	для того чтобы	11	11
12	до сих пор	8	11
13	в отличие от	4	10
14	то же самое	8	8
15	в отношении к	3	8
16	в настоящее время	2	8
17	смысле этого слова	2	7
18	с другой стороны	7	7
19	в свою очередь	3	7
20	во всяком случае	7	6
21	на самом деле	6	6
22	на то что	12	6
23	с одной стороны	6	6
24	одни и те	3	5
25	в таком случае	3	5
26	в этом отношении	7	5
27	к тому что	2	5
28	и те же	3	5
29	том что он	2	4
30	можно сказать что	2	4
31	о том что	9	4
32	только на почве	3	4
33	в зависимости от	6	4
34	в применении к	2	3
35	тем не менее	6	3
36	более или менее	3	3
37	и тот же	2	3
38	лежит в основе	2	3
39	в конце концов	6	3
40	одной и той	5	3
41	можно было бы	2	3
42	не могут быть	2	3
43	и той же	5	3
44	ни в какой	3	3
45	не было бы	3	3
46	один и тот	2	3
47	от того что	2	2
48	само по себе	8	2
49	же как и	2	2
50	тех пор пока	2	2
51	в чем же	2	2
52	мы никогда не	5	2
53	таким образом в	2	2
54	так и в	2	2
55	до тех пор	2	2
56	собственном смысле слова	2	2
57	так же как	8	2
58	несмотря на то	2	2
59	отношения базиса и	2	2
60	как и в	5	2
61	сами по себе	4	2
62	и в самом	3	2
63	мы видели что	2	2
64	сама по себе	2	2
65	в последнее время	2	2
66	с тем что	2	2
67	в собственном смысле	3	2
68	и в том	2	2
69	в этом смысле	3	2
