N	2gram	Losev_Vlad	VelikijI
1	и не	33	20
2	и в	56	16
3	так как	11	9
4	то что	30	9
5	к богу	2	8
6	еще не	2	8
7	в истории	4	8
8	и потому	8	7
9	на земле	2	7
10	что они	4	7
11	а не	5	7
12	не есть	4	6
13	как бы	5	5
14	на себя	3	5
15	бога и	3	5
16	но и	26	5
17	все это	7	5
18	хотя и	9	5
19	того что	6	5
20	что все	2	4
21	и все	8	4
22	как и	7	4
23	в котором	10	4
24	потому что	16	4
25	все что	2	4
26	в нем	7	4
27	в ней	5	4
28	что не	3	4
29	во мне	2	4
30	что мы	2	4
31	и я	7	4
32	в его	18	4
33	в этом	30	4
34	что он	22	4
35	и есть	2	4
36	так и	11	4
37	с богом	3	4
38	никогда не	15	3
39	в жизни	4	3
40	что в	24	3
41	в том	26	3
42	и для	4	3
43	не имеет	2	3
44	за то	2	3
45	но в	19	3
46	к тому	5	3
47	ни в	4	3
48	их в	3	3
49	то это	4	3
50	но это	6	3
51	хотя бы	5	3
52	в своей	7	3
53	во всех	4	3
54	личности и	2	3
55	в конце	22	3
56	по этому	3	3
57	в них	5	3
58	жизни и	8	3
59	в первый	2	3
60	что и	6	3
61	и мы	6	3
62	не было	12	3
63	лишь в	3	3
64	если не	4	3
65	людей в	2	3
66	и что	11	3
67	не в	12	3
68	все эти	6	3
69	что во	2	3
70	в этих	5	3
71	что я	5	3
72	в чем	4	3
73	тот же	7	3
74	в социализме	2	3
75	с его	15	3
76	и то	13	2
77	о высшем	2	2
78	с тем	4	2
79	да и	6	2
80	но не	5	2
81	нет и	2	2
82	не могли	2	2
83	и это	4	2
84	это не	3	2
85	не только	35	2
86	не могут	2	2
87	а в	20	2
88	том что	22	2
89	его к	3	2
90	но мы	3	2
91	и во	3	2
92	жизни все	2	2
93	от него	3	2
94	а к	24	2
95	во всяком	8	2
96	уже не	6	2
97	не к	2	2
98	один из	4	2
99	т д	3	2
100	вера в	4	2
101	для них	2	2
102	того чтобы	4	2
103	тем кто	2	2
104	и никогда	2	2
105	и теперь	4	2
106	тем что	2	2
107	авторитетом и	2	2
108	мы не	2	2
109	человека как	3	2
110	конечно не	5	2
111	уже на	3	2
112	только в	11	2
113	и сам	7	2
114	и за	3	2
115	его и	2	2
116	для нас	9	2
117	на этих	2	2
118	прежде всего	5	2
119	и т	3	2
120	с ним	10	2
121	его не	2	2
122	это мы	5	2
123	мы и	4	2
124	а с	5	2
125	для него	16	2
