N	2gram	Vinokur_St	Sotsiolo
1	истории литературы	2	10
2	все это	13	7
3	в том	56	5
4	в этом	37	5
5	более чем	3	3
6	для нас	7	3
7	не только	36	3
8	и только	3	3
9	в его	19	3
10	но ведь	8	3
11	не в	15	3
12	и в	61	3
13	литературы и	3	2
14	это и	5	2
15	дело не	4	2
16	должна быть	3	2
17	отношению к	3	2
18	по отношению	3	2
19	еще не	4	2
20	только в	11	2
21	что в	41	2
22	тем более	4	2
23	в частности	6	2
24	том что	49	2
25	было бы	21	2
26	таким образом	16	2
27	то же	7	2
28	как будто	5	2
29	и что	8	2
30	конце концов	2	2
31	к которому	4	2
32	нужно было	2	2
33	то что	27	2
34	как бы	8	2
35	одно дело	2	2
36	но и	28	2
37	в конце	5	2
38	за пределы	2	2
39	может быть	16	2
40	по существу	3	2
41	в результате	5	2
