N	2gram	Vygotskiy_	VrazhdaK
1	не только	24	9
2	и что	45	8
3	в этом	30	8
4	и в	55	8
5	что в	43	7
6	но и	16	7
7	и все	15	7
8	то что	69	7
9	но в	7	6
10	как и	9	6
11	в котором	5	6
12	в нем	13	6
13	и с	3	6
14	о нем	3	6
15	все же	11	6
16	в романе	2	6
17	и даже	4	6
18	и не	19	5
19	не было	2	5
20	об этом	5	5
21	то же	16	5
22	в то	6	5
23	же время	2	5
24	у него	9	5
25	между тем	4	5
26	в письме	2	5
27	для нас	9	4
28	уже в	7	4
29	целый ряд	5	4
30	несмотря на	5	4
31	в своих	9	4
32	это не	9	4
33	в виду	5	4
34	все это	8	4
35	при этом	11	4
36	о том	24	4
37	в ней	5	4
38	как бы	33	4
39	так же	19	4
40	что он	30	4
41	с ним	4	4
42	может быть	34	4
43	человека в	3	3
44	давно уже	2	3
45	в том	50	3
46	его в	2	3
47	далеко не	4	3
48	что у	7	3
49	и уже	4	3
50	и во	2	3
51	в своем	12	3
52	том что	46	3
53	в его	8	3
54	и о	5	3
55	раз в	4	3
56	и его	10	3
57	и как	10	3
58	он был	3	3
59	он не	10	3
60	связи с	2	3
61	к этому	5	3
62	но он	6	3
63	чтобы он	2	3
64	на то	27	3
65	что есть	3	3
66	в конце	10	3
67	с его	6	3
68	тем что	8	3
69	никогда не	15	2
70	же не	2	2
71	и то	12	2
72	в них	7	2
73	одна из	6	2
74	в него	5	2
75	в той	3	2
76	для него	5	2
77	при помощи	5	2
78	и это	13	2
79	на первый	2	2
80	с точки	5	2
81	мы знаем	4	2
82	а в	7	2
83	эту сцену	2	2
84	в этой	15	2
85	столь же	3	2
86	его с	2	2
87	в нашей	5	2
88	в своей	8	2
89	чувств и	6	2
90	как раз	19	2
91	же в	3	2
92	но как	3	2
93	и он	7	2
94	в себе	13	2
95	еще не	6	2
96	точки зрения	15	2
97	о чем	4	2
98	же как	4	2
99	это в	5	2
100	таким образом	35	2
101	во время	4	2
102	его и	2	2
103	отношения к	2	2
104	в свою	3	2
105	по мнению	6	2
106	на это	3	2
107	так в	4	2
108	их в	4	2
109	рядом с	6	2
110	в эту	2	2
111	не может	15	2
112	очень хорошо	2	2
113	из них	7	2
114	ответ на	5	2
115	в это	2	2
116	его на	2	2
117	но это	2	2
118	в глазах	2	2
119	с которым	5	2
120	а с	7	2
121	вместе с	16	2
122	в известном	2	2
