N	3gram	Nazirov_Tv	Myshleni
1	в том что	8	133
2	по отношению к	3	42
3	с самого начала	3	36
4	с другой стороны	2	26
5	о том что	6	25
6	не может быть	2	23
7	можно сказать что	2	21
8	в самом деле	2	19
9	в отличие от	2	18
10	во всяком случае	2	18
11	в связи с	2	17
12	в известном смысле	2	15
13	в данном случае	2	15
14	на этот вопрос	2	14
15	мы уже говорили	2	14
16	в свою очередь	2	14
17	точно так же	3	13
18	тем не менее	2	12
19	том что в	3	11
20	на самом деле	2	9
21	в конечном счете	4	9
22	как и в	2	9
23	не могут быть	2	8
24	в том же	3	8
25	и не может	2	6
26	в то же	19	5
27	едва ли не	2	5
28	по нашему мнению	9	5
29	сами по себе	2	5
30	не только в	2	5
31	он приходит к	2	4
32	так и в	2	4
33	влечет за собой	2	4
34	в соответствии с	7	3
35	и та же	2	3
36	является одним из	3	3
37	та же самая	2	3
38	то же время	18	3
39	в известной мере	2	3
40	дело в том	4	3
41	мы узнаем что	2	3
42	что все это	3	2
43	и все же	3	2
44	при этом он	2	2
45	в одном из	2	2
46	он еще не	2	2
47	что у него	2	2
48	в этой связи	2	2
49	по сути дела	5	2
50	на протяжении всего	2	2
