N	2gram	Tiupa_Anal	TeoriaLi
1	в качестве	22	33
2	в мире	17	26
3	не только	40	24
4	и в	36	24
5	в частности	19	23
6	то есть	15	22
7	состоит в	14	22
8	может быть	19	22
9	в том	16	20
10	при этом	19	20
11	в тексте	16	19
12	я в	15	18
13	тогда как	37	18
14	и не	14	17
15	а в	17	15
16	но и	26	14
17	так и	19	14
18	а не	16	14
19	в себе	7	14
20	в рамках	10	13
21	такого рода	11	13
22	но не	13	13
23	представляет собой	7	13
24	в этом	19	12
25	то же	7	12
26	эстетического отношения	6	12
27	произведение искусства	4	12
28	но в	8	12
29	сводится к	5	12
30	в его	12	12
31	литературного произведения	8	11
32	том что	19	11
33	внутреннего зрения	4	11
34	точки зрения	3	11
35	художественного текста	3	11
36	своего рода	17	11
37	и его	18	11
38	по отношению	9	10
39	объектной организации	4	10
40	лишь в	9	10
41	отношению к	9	10
42	как это	7	10
43	коммуникативного события	14	10
44	что в	15	10
45	субъектной организации	3	9
46	в данном	12	9
47	не в	9	9
48	в искусстве	3	9
49	с другой	10	9
50	в то	8	9
51	только в	9	9
52	всего лишь	13	8
53	не может	3	8
54	по своей	5	8
55	как бы	14	8
56	в миропорядке	10	8
57	присутствия в	5	8
58	в своей	12	8
59	же время	7	8
60	художественной реальности	17	7
61	или иной	9	7
62	в своем	7	7
63	а также	5	7
64	мы имеем	5	7
65	себя в	6	7
66	отношение к	2	7
67	присутствия я	5	7
68	в принципе	3	7
69	во второй	8	7
70	на смену	5	7
71	отличие от	5	7
72	в самом	7	7
73	в отличие	5	7
74	однако в	6	7
75	место в	4	7
76	не столько	4	7
77	кадров внутреннего	3	7
78	и т.п	7	7
79	в нем	3	7
80	тем самым	8	6
81	или иного	5	6
82	модус художественности	7	6
83	внутреннего я	2	6
84	того или	6	6
85	другой стороны	7	6
86	в первой	10	6
87	конечном счете	5	6
88	в конечном	5	6
89	со стороны	12	6
90	не менее	9	6
91	героя и	7	6
92	еще не	7	6
93	то что	5	6
94	художественного впечатления	9	6
95	как и	27	6
96	в русской	9	6
97	организации художественного	2	6
98	или иначе	5	6
99	картина мира	5	6
100	уже не	9	6
101	приводит к	5	6
102	между ними	3	6
103	в состав	2	6
104	модуса художественности	5	6
105	в ее	5	6
106	в основе	2	6
107	с его	15	6
108	данном случае	11	5
109	я с	7	5
110	мыслится как	2	5
111	а и	4	5
112	по преимуществу	3	5
113	я есть	3	5
114	как в	9	5
115	как правило	6	5
116	как к	2	5
117	и одновременно	6	5
118	иначе говоря	5	5
119	и тем	3	5
120	по сути	2	5
121	кто говорит	3	5
122	в ходе	3	5
123	роли в	6	5
124	лирическая героиня	5	5
125	не является	5	5
126	в пределах	5	5
127	для него	8	5
128	не случайно	13	5
129	за пределами	2	5
130	так или	5	5
131	на почве	3	5
132	между тем	8	5
133	могут быть	4	5
134	жизни как	4	5
135	а а	5	5
136	не предполагает	2	5
137	воспринимающего сознания	3	5
138	того что	4	5
139	художественности в	8	5
140	он не	9	5
141	композиционных форм	2	5
142	в себя	6	5
143	можно сказать	5	5
144	литературных произведений	3	5
145	никогда не	7	4
146	сказать что	2	4
147	в отношении	2	4
148	креативная компетенция	5	4
149	его в	4	4
150	самим собой	3	4
151	это не	4	4
152	так в	4	4
153	читателя в	3	4
154	внимательно взглянула	3	4
155	или иным	2	4
156	художественного мира	3	4
157	и ее	3	4
158	текста как	2	4
159	в форме	2	4
160	в другом	3	4
161	в силу	2	4
162	этого слова	3	4
163	и а	4	4
164	и т.д	3	4
165	субъекта и	3	4
166	лирического героя	6	4
167	в стихотворении	4	4
168	в их	7	4
169	одного и	4	4
170	в этих	2	4
171	что он	5	4
