N	2gram	Medvedev_S	Vvedenie
1	в том	5	38
2	в этом	5	35
3	и в	3	35
4	том что	2	30
5	может быть	2	30
6	не только	3	26
7	таким образом	2	21
8	то что	2	19
9	только в	2	16
10	что в	2	13
11	в его	3	12
12	то же	2	11
13	не в	3	10
14	как бы	2	7
15	но и	2	7
16	только как	2	7
17	было бы	2	7
18	и что	2	6
19	все это	7	6
20	дело не	2	5
21	в результате	2	4
22	по отношению	2	4
23	но ведь	3	4
24	еще не	2	4
25	отношению к	2	4
26	и заключается	2	4
27	в конце	2	3
28	о литературе	3	3
29	в частности	2	3
30	истории литературы	10	3
31	как будто	2	3
32	литературы и	2	2
33	тем более	2	2
34	конце концов	2	2
35	одно дело	2	2
36	как только	2	2
37	должна быть	2	2
38	по существу	2	2
