N	3gram	Voloshinov	FransuaR
1	до сих пор	3	27
2	в большинстве случаев	3	22
3	с точки зрения	6	20
4	о том что	2	17
5	на самом деле	4	13
6	не может быть	3	13
7	все то что	2	11
8	можно сказать что	3	11
9	в его целом	2	8
10	в самом деле	2	7
11	с самого начала	4	6
12	во всех его	2	6
13	во всяком случае	3	5
14	и с его	2	5
15	по сравнению с	3	5
16	по ту сторону	4	4
17	так же как	2	4
18	не нуждается в	2	4
19	в этом смысле	3	3
20	но в общем	2	3
21	и в этом	2	3
22	связанных с ними	2	2
23	в нем нет	2	2
24	не могут быть	2	2
25	в конечном счете	2	2
26	мы можем сказать	2	2
27	мы полагаем что	3	2
28	можно определить как	2	2
29	и может быть	2	2
