N	3gram	Vygotskiy_	Literetu
1	в том что	20	21
2	с одной стороны	6	12
3	в данном случае	5	11
4	не может быть	3	11
5	состоит в том	2	11
6	о том что	8	10
7	с точки зрения	11	8
8	с другой стороны	5	7
9	к тому же	2	6
10	этой точки зрения	2	5
11	с этой точки	2	5
12	в том чтобы	2	5
13	по аналогии с	2	4
14	и то что	3	4
15	и т п	7	3
16	во всяком случае	6	3
17	то же самое	12	3
18	на самом деле	3	3
19	в самом деле	29	3
20	только в том	5	3
21	на то что	16	3
22	речь идет о	5	3
23	ничего общего с	2	3
24	в свою очередь	3	3
25	одно и то	3	2
26	тех пор пока	2	2
27	для того чтобы	17	2
28	и то же	3	2
29	я не могу	3	2
30	и вместе с	3	2
31	только то что	3	2
32	тем что в	2	2
33	все же в	2	2
34	в первый раз	2	2
35	не только не	3	2
36	и в самом	15	2
37	к тому что	5	2
38	в русской поэзии	2	2
39	несет в себе	3	2
40	можно было бы	6	2
41	вместе с тем	3	2
42	до тех пор	2	2
