N	3gram	Losev_Prob	Psycholo
1	в том что	7	78
2	для того чтобы	9	70
3	на то что	12	55
4	в самом деле	4	51
5	заключается в том	2	36
6	о том что	16	34
7	то же самое	9	31
8	с точки зрения	3	29
9	с одной стороны	4	28
10	до сих пор	6	23
11	не может быть	5	23
12	и в самом	2	22
13	и т д	12	22
14	с другой стороны	7	20
15	на самом деле	6	17
16	с самого начала	2	16
17	не только не	4	16
18	во всяком случае	11	14
19	так же как	2	14
20	в этом отношении	2	14
21	в то время	2	14
22	можно было бы	4	13
23	то время как	2	13
24	и в этом	5	13
25	сам по себе	7	12
26	в конце концов	11	12
27	указывает на то	3	12
28	мы никогда не	3	11
29	то что в	4	11
30	то что он	3	11
31	подобно тому как	2	11
32	только в том	4	10
33	и если мы	4	10
34	сами по себе	5	10
35	вместе с тем	2	10
36	и то что	9	10
37	в том случае	2	9
38	никак не может	3	9
39	в данном случае	10	9
40	таким образом что	2	9
41	точно так же	7	9
42	и что в	2	9
43	не то что	2	9
44	что в нем	4	8
45	и как бы	2	8
46	по этому поводу	5	8
47	с тем что	2	8
48	именно то что	4	7
49	можно сказать что	6	7
50	только то что	6	7
51	о которых мы	2	7
52	в этом смысле	8	7
53	более или менее	7	6
54	тем не менее	25	6
55	сама по себе	6	6
56	не что иное	5	6
57	что иное как	5	6
58	того или иного	6	6
59	друг к другу	2	6
60	никогда не может	2	6
61	то что мы	11	6
62	не только в	3	6
63	до тех пор	4	6
64	ни в каком	7	5
65	в таком случае	14	5
66	или вернее сказать	2	5
67	не имеет никакого	2	5
68	о том как	2	5
69	и в частности	3	5
70	вопрос о том	2	4
71	одним и тем	2	4
72	если мы хотим	2	4
73	то есть в	6	4
74	в настоящее время	17	4
75	и тем же	2	4
76	как будто бы	4	4
77	по себе и	2	4
78	это то что	4	4
79	мы говорили выше	2	4
80	одного и того	2	4
81	это было бы	2	4
82	в этой области	5	4
83	то или иное	2	4
84	том что в	2	4
85	только тогда когда	4	4
86	это вовсе не	2	4
87	только потому что	3	4
88	внимание на то	2	4
89	и того же	2	4
90	так как они	2	4
91	во всех этих	2	3
92	бы то ни	2	3
93	а не только	2	3
94	то и другое	3	3
95	может быть и	5	3
96	как только мы	2	3
97	ничего общего с	9	3
98	не потому что	2	3
99	в этом случае	6	3
100	что она есть	2	3
101	но это только	2	3
102	в то же	4	3
103	имел в виду	2	3
104	как это мы	2	3
105	иметь в виду	4	3
106	случае не может	3	3
107	мысль о том	2	3
108	ни одна из	2	3
109	дело в том	3	3
110	потому что оно	2	2
111	том что это	2	2
112	той или иной	5	2
113	что в конце	2	2
114	так и в	2	2
115	именно в этом	2	2
116	д и т	3	2
117	но никак не	2	2
118	мы увидим ниже	2	2
119	есть не что	5	2
120	но и в	3	2
121	перед нами в	2	2
122	и до наших	2	2
123	в связи с	7	2
124	хотя и не	2	2
125	так как он	2	2
126	нисколько не больше	2	2
127	что может быть	3	2
128	тех или иных	2	2
129	по крайней мере	8	2
130	в каком случае	6	2
131	мы вовсе не	2	2
132	слова то есть	2	2
133	на первый план	3	2
134	не совпадает с	2	2
135	это значит что	3	2
136	тем что в	2	2
137	бы не было	3	2
138	как мы увидим	2	2
139	и только в	2	2
140	и ничего не	2	2
141	в сознании и	2	2
142	одной стороны и	2	2
143	в значительной мере	2	2
144	казалось бы что	2	2
145	и тем не	8	2
146	и тем самым	4	2
147	т д и	4	2
148	мы не только	2	2
149	вовсе не для	3	2
150	так же и	4	2
151	так или иначе	7	2
152	когда мы говорим	2	2
153	может быть только	2	2
154	должны были бы	2	2
155	а может быть	3	2
156	а то что	2	2
