N	3gram	Losev_Vesc	Mirosoze
1	не может быть	22	28
2	а не в	2	9
3	в том что	9	9
4	это и есть	4	9
5	для того чтобы	2	7
6	о том что	4	6
7	есть прежде всего	4	6
8	вместе с тем	3	6
9	и в этом	2	6
10	есть не только	2	5
11	в отношении к	2	5
12	от того что	4	4
13	в конце концов	2	4
14	на то что	7	4
15	не что иное	12	4
16	в нем нет	2	4
17	не мог бы	2	4
18	то время как	4	4
19	можно было бы	3	4
20	в то время	4	4
21	что иное как	12	4
22	а не только	2	3
23	во всяком случае	2	3
24	том что он	2	3
25	это значит что	25	3
26	она не может	3	3
27	не может не	3	3
28	к тому что	2	3
29	так же как	2	3
30	есть не что	8	3
31	по сравнению с	7	3
32	никогда не есть	2	2
33	т е в	7	2
34	как бы его	2	2
35	подобно тому как	5	2
36	в этом отношении	2	2
37	не только в	5	2
38	нельзя было бы	2	2
39	хотя бы и	2	2
40	а не к	2	2
41	и в смысле	2	2
42	с самим собою	2	2
43	по природе своей	2	2
