N	3gram	Bakhtin_sl	Komedia
1	в том что	4	29
2	до сих пор	4	16
3	то же время	15	16
4	в то же	15	16
5	о том что	2	13
6	в то время	2	11
7	и т п	49	11
8	в свою очередь	3	10
9	по отношению к	2	9
10	то время как	2	9
11	с одной стороны	7	9
12	с другой стороны	5	8
13	во всяком случае	7	7
14	в связи с	2	6
15	с точки зрения	11	6
16	в отличие от	12	6
17	и т д	7	5
18	в этом отношении	2	5
19	тем не менее	2	5
20	к тому что	2	4
21	можно было бы	2	4
22	сих пор не	2	3
23	более или менее	5	3
24	таким образом в	4	3
25	но и в	2	3
26	друг с другом	2	3
27	в новое время	2	3
28	в большинстве случаев	11	2
29	как мы видели	2	2
30	в первом случае	2	2
31	в зависимости от	4	2
32	так и в	5	2
33	не только в	3	2
34	в отношении к	9	2
35	и в том	2	2
36	в этом случае	4	2
37	как и в	2	2
38	одной стороны и	2	2
39	и в то	6	2
40	в известной степени	3	2
41	но и здесь	3	2
