N	2gram	Bakhtin_Pr	OGranits
1	и в	64	13
2	и его	21	12
3	прежде всего	16	9
4	и не	55	8
5	не может	26	8
6	может быть	43	8
7	в его	30	7
8	и пр	5	7
9	и их	3	7
10	точки зрения	31	7
11	не только	26	6
12	мы должны	3	6
13	как бы	33	6
14	таким образом	15	6
15	только в	13	6
16	то что	21	6
17	в поэзии	2	5
18	все же	11	5
19	с точки	21	5
20	и эта	2	5
21	но ведь	3	5
22	и наконец	7	5
23	хотя бы	4	5
24	в музыке	2	5
25	художественного произведения	2	5
26	в процессе	6	5
27	но в	14	4
28	лишь в	4	4
29	то же	18	4
30	в сознании	3	4
31	произведения как	2	4
32	в своей	11	4
33	все это	9	4
34	социальной группы	2	4
35	было бы	8	4
36	мы не	4	4
37	в каждом	15	4
38	слов и	2	4
39	на фоне	5	4
40	вполне понятно	2	4
41	никогда не	11	3
42	да и	2	3
43	и для	7	3
44	слово в	10	3
45	и все	6	3
46	в ее	2	3
47	превращается в	5	3
48	с этим	3	3
49	отношению к	12	3
50	и уже	3	3
51	как и	25	3
52	в пределах	24	3
53	не в	15	3
54	в их	6	3
55	ни один	3	3
56	так как	9	3
57	понятно что	2	3
58	в себе	11	3
59	что в	11	3
60	по отношению	12	3
61	точку зрения	7	3
62	но для	3	3
63	самом деле	10	3
64	за пределы	7	3
65	так и	8	3
66	что же	9	3
67	в которой	2	3
68	не как	20	3
69	к одному	7	3
70	в одном	20	3
71	здесь мы	4	3
72	но и	26	3
73	в самом	17	2
74	могут быть	9	2
75	мы видим	3	2
76	она является	2	2
77	конечно в	2	2
78	в этом	33	2
79	смысле слова	2	2
80	в них	5	2
81	для себя	3	2
82	данном случае	2	2
83	в руках	3	2
84	в книге	2	2
85	кажется что	4	2
86	уже в	5	2
87	в том	12	2
88	тем что	6	2
89	в отношении	5	2
90	несмотря на	7	2
91	в целом	8	2
92	если бы	12	2
93	не исчерпывается	2	2
94	в произведении	7	2
95	от этого	2	2
96	не имеет	2	2
97	зависимости от	5	2
98	и др	7	2
99	но так	2	2
100	материал в	2	2
101	ее в	3	2
102	более того	8	2
103	во времени	3	2
104	с другой	7	2
105	там где	12	2
106	слова и	8	2
107	а в	10	2
108	том что	8	2
109	а как	11	2
110	только его	2	2
111	и к	5	2
112	в зависимости	5	2
113	в данном	2	2
114	не менее	3	2
115	и следовательно	7	2
116	с ними	2	2
117	все эти	13	2
118	так же	8	2
119	от своего	2	2
120	мы уже	4	2
121	те же	3	2
122	героя и	14	2
123	и при	2	2
124	с этой	2	2
125	в своих	4	2
126	его на	2	2
127	в нем	28	2
128	он только	2	2
129	не на	7	2
130	при этом	8	2
131	сознания и	8	2
132	и ее	5	2
133	каждый элемент	3	2
134	а не	29	2
135	между собою	5	2
136	во всей	3	2
137	в ней	2	2
138	себе что	2	2
139	входит в	9	2
140	как в	7	2
141	другой стороны	6	2
142	и является	2	2
143	бы в	7	2
144	между тем	7	2
145	тот же	2	2
146	в другом	3	2
147	самого начала	2	2
148	вовсе не	12	2
149	к сожалению	2	2
150	представим себе	2	2
151	к тому	4	2
152	и внутренняя	2	2
153	с помощью	2	2
154	наконец в	4	2
155	для него	23	2
156	в структуре	3	2
157	может стать	5	2
