N	2gram	Trubetskoy	Poddanst
1	не только	9	17
2	и в	14	14
3	и не	19	12
4	в области	2	11
5	в этом	17	10
6	но в	2	9
7	то же	11	9
8	в том	17	9
9	в качестве	3	9
10	хотя бы	5	8
11	в то	10	7
12	только в	5	7
13	же время	10	7
14	но и	10	6
15	было бы	5	6
16	в ней	2	6
17	россии в	7	5
18	не в	4	5
19	и о	2	5
20	отношении к	2	5
21	может быть	9	5
22	по себе	2	4
23	что в	4	4
24	если бы	6	4
25	и потому	3	4
26	в своем	6	4
27	том что	9	4
28	европейской культуры	2	4
29	мы должны	7	4
30	в котором	2	4
31	и к	6	4
32	как бы	4	4
33	и если	7	4
34	то что	13	4
35	не может	22	4
36	а в	5	4
37	россии и	3	4
38	и как	3	3
39	с тем	6	3
40	в порядке	2	3
41	но не	4	3
42	тем самым	2	3
43	с точки	9	3
44	сводится к	3	3
45	в россии	6	3
46	для того	6	3
47	в себе	9	3
48	точки зрения	11	3
49	потому что	5	3
50	в нем	5	3
51	между тем	5	3
52	прежде всего	8	3
53	и т	3	3
54	для нас	2	2
55	должно быть	3	2
56	не о	2	2
57	да и	3	2
58	в мире	4	2
59	если в	6	2
60	одна из	3	2
61	признание что	3	2
62	отношения к	2	2
63	для них	3	2
64	не к	2	2
65	помнить что	2	2
66	и тем	2	2
67	в его	4	2
68	с этим	2	2
69	и вот	2	2
70	говорить о	3	2
71	бы ни	2	2
72	церкви и	9	2
73	время в	2	2
74	со стороны	4	2
75	в последние	5	2
76	культуры в	3	2
77	именно в	3	2
78	в начале	2	2
79	в виде	3	2
80	все это	6	2
81	в частности	2	2
82	значительной мере	2	2
83	как на	8	2
84	друг другу	2	2
85	а не	2	2
86	не было	3	2
87	и есть	2	2
88	и с	7	2
89	во всех	5	2
90	от европы	2	2
91	к чему	2	2
92	в значительной	3	2
93	того что	3	2
94	в силу	2	2
95	главным образом	3	2
96	из них	3	2
97	отнюдь не	7	2
