N	2gram	Berdyaev_M	Morfolog
1	может быть	42	61
2	т е	5	25
3	могут быть	2	21
4	так как	10	20
5	не может	39	19
6	в этом	34	18
7	в этих	6	17
8	и в	61	17
9	и не	26	16
10	мы видим	4	15
11	с этим	4	14
12	прежде всего	18	14
13	а не	36	11
14	вопрос о	7	10
15	но если	4	10
16	мы увидим	4	10
17	то же	4	10
18	в том	9	10
19	то что	10	10
20	так и	5	10
21	что в	12	10
22	что и	6	10
23	все же	2	9
24	но и	34	9
25	не только	42	8
26	но не	8	8
27	а в	4	8
28	мы не	2	8
29	не могут	6	7
30	том что	7	7
31	если в	2	7
32	по отношению	4	7
33	отношению к	4	7
34	и здесь	6	7
35	и этим	2	7
36	точки зрения	6	7
37	этот случай	2	7
38	один из	9	7
39	потому что	25	7
40	это не	10	6
41	но это	8	6
42	не все	3	6
43	во всех	3	6
44	и как	3	6
45	в иное	2	6
46	также и	6	6
47	подобно тому	2	6
48	в нашем	2	6
49	о том	5	6
50	в образе	4	6
51	как бы	10	6
52	ничего не	4	5
53	они и	3	5
54	и ее	2	5
55	хотя бы	8	5
56	было бы	11	5
57	об этом	2	5
58	что он	16	5
59	как в	9	5
60	тому что	2	5
61	прежде чем	2	5
62	к тому	6	5
63	между тем	2	5
64	тому как	2	5
65	все эти	3	5
66	что они	4	5
67	он не	34	5
68	хотя и	2	5
69	учение о	3	5
70	сказать что	5	4
71	на самом	2	4
72	его в	6	4
73	так же	5	4
74	в то	2	4
75	значит что	4	4
76	к этому	3	4
77	в иных	3	4
78	есть и	6	4
79	тем что	7	4
80	самом деле	2	4
81	но в	12	4
82	и для	7	4
83	как и	14	4
84	входит в	3	4
85	уже не	8	4
86	и к	9	4
87	на этом	5	4
88	смысле слова	7	4
89	того чтобы	4	4
90	на пути	4	4
91	никто не	3	4
92	от того	4	4
93	то в	2	3
94	время как	2	3
95	означает что	3	3
96	в которой	8	3
97	что это	5	3
98	и их	3	3
99	и у	3	3
100	целый ряд	2	3
101	друг друга	12	3
102	если бы	5	3
103	не значит	2	3
104	это и	7	3
105	связана с	9	3
106	та же	4	3
107	он должен	4	3
108	же можно	2	3
109	сам он	2	3
110	не в	16	3
111	для того	4	3
112	с этой	4	3
113	у нас	13	3
114	к ней	6	3
115	того что	13	3
116	приводит к	2	3
117	к нему	8	3
118	они не	4	3
119	ни в	3	3
120	что такое	2	3
121	с того	2	3
122	с собой	5	3
123	но для	2	3
124	не существует	5	3
125	к чему	5	3
126	совсем не	3	3
127	в начале	2	3
128	и что	4	3
129	то время	2	3
130	и тогда	2	3
131	и по	4	3
132	и его	13	3
133	только в	7	3
134	в сущности	2	3
135	в ином	2	3
136	и есть	21	3
137	все еще	2	3
138	в этой	12	3
139	с его	6	3
140	и когда	2	2
141	самого себя	6	2
142	в каком	2	2
143	решить вопрос	2	2
144	не от	3	2
145	себя в	6	2
146	в россии	2	2
147	путь к	2	2
148	от него	4	2
149	бы в	3	2
150	иное как	4	2
151	не что	4	2
152	к себе	3	2
153	также в	2	2
154	и тот	2	2
155	что она	5	2
156	к другу	6	2
157	роль в	2	2
158	в середине	4	2
159	нельзя было	3	2
160	одним из	2	2
161	потому не	3	2
162	и за	2	2
163	его и	2	2
164	средство для	2	2
165	ни к	2	2
166	не означает	2	2
167	что иное	4	2
168	в чем	3	2
169	не знает	12	2
170	должна быть	7	2
171	и более	2	2
172	увидим что	5	2
173	на этот	2	2
174	с тем	10	2
175	не так	6	2
176	и этот	4	2
177	в самых	2	2
178	не имеет	7	2
179	вообще не	2	2
180	она не	9	2
181	друг за	2	2
182	другу и	2	2
183	но с	2	2
184	в своих	4	2
185	оно не	3	2
186	быть и	2	2
187	исходит от	2	2
188	в которых	5	2
189	которой все	2	2
190	если он	7	2
191	для нас	3	2
192	что же	2	2
193	может не	3	2
194	друг к	6	2
195	должны быть	3	2
196	к другому	4	2
197	вряд ли	3	2
198	ответить на	2	2
199	себя и	6	2
200	все ли	5	2
201	все это	6	2
202	в основе	4	2
203	у него	38	2
204	как будто	4	2
205	как то	2	2
206	момент в	5	2
207	для него	28	2
208	по своему	3	2
209	того как	3	2
210	чем в	3	2
