N	3gram	Bakhtin_Pr	Marksizm
1	с точки зрения	21	46
2	не может быть	8	25
3	в самом деле	5	19
4	в то же	10	15
5	по отношению к	17	15
6	то же время	10	15
7	в том что	10	14
8	бы то ни	3	12
9	и не может	3	12
10	то ни было	2	12
11	в высшей степени	2	12
12	для того чтобы	3	11
13	до сих пор	3	11
14	с самого начала	3	10
15	в отличие от	3	10
16	но в то	5	9
17	в большинстве случаев	3	9
18	смысле этого слова	2	7
19	с другой стороны	3	7
20	во всяком случае	3	6
21	на самом деле	4	6
22	как мы уже	2	6
23	той или иной	3	5
24	как мы видели	3	5
25	и как бы	3	5
26	в этом отношении	7	5
27	том что он	4	4
28	можно сказать что	3	4
29	о том что	5	4
30	как мы сказали	2	4
31	в разрезе данного	2	4
32	лишь там где	2	4
33	в зависимости от	5	4
34	но все же	3	4
35	в конце концов	7	3
36	друг с другом	4	3
37	можно было бы	4	3
38	не только в	2	3
39	хотя бы и	3	3
40	и в этом	8	3
41	именно в том	2	3
42	в той или	2	3
43	по крайней мере	3	2
44	а не только	2	2
45	само по себе	4	2
46	же как и	3	2
47	таким образом в	2	2
48	так же как	4	2
49	в данном случае	3	2
50	между тем как	4	2
51	сами по себе	4	2
52	является одним из	2	2
53	в этой форме	2	2
54	или иной степени	2	2
55	в его целом	8	2
56	сама по себе	3	2
57	мы можем сказать	2	2
58	к нему и	2	2
59	друг от друга	2	2
60	в нем и	2	2
61	и в том	2	2
62	в этом смысле	12	2
63	дело идет о	4	2
64	это и есть	3	2
