N	2gram	Kanaev_Sov	VeschiIm
1	и не	6	57
2	не только	4	48
3	не может	17	46
4	и в	7	45
5	и есть	2	40
6	может быть	12	39
7	а не	3	37
8	было бы	3	24
9	в себе	3	23
10	что она	3	23
11	и что	2	22
12	что такое	2	20
13	как бы	4	20
14	что это	2	19
15	что же	5	19
16	все же	3	18
17	в этом	7	18
18	прежде всего	5	17
19	так как	4	17
20	таким образом	11	16
21	в том	4	15
22	как и	6	15
23	уже не	2	15
24	не в	3	14
25	в самом	2	13
26	то ни	2	13
27	ничего не	6	12
28	совершенно не	2	12
29	что в	2	12
30	точки зрения	12	12
31	то же	3	12
32	еще не	3	12
33	и даже	2	12
34	если мы	4	12
35	не менее	2	11
36	тем не	2	11
37	и пр	2	11
38	ясно что	3	10
39	это не	4	9
40	то и	2	9
41	в результате	6	9
42	у нас	3	9
43	говорить о	2	9
44	и потому	3	8
45	но в	3	8
46	мы не	9	8
47	все это	3	8
48	отличается от	3	8
49	отнюдь не	3	8
50	из них	4	7
51	самом деле	2	7
52	а в	4	7
53	все эти	5	7
54	вопрос о	4	6
55	когда мы	3	6
56	и все	3	6
57	в нем	3	6
58	как мы	2	6
59	одна из	3	6
60	их в	4	6
61	жизни и	4	6
62	с точки	5	6
63	в одном	3	6
64	мы должны	4	5
65	и мы	3	5
66	свою очередь	2	5
67	вместе с	4	5
68	мы видим	2	5
69	в его	2	5
70	быть и	2	5
71	же это	4	5
72	в которой	2	5
73	нет и	4	5
74	в свою	2	5
75	если же	2	5
76	она может	2	4
77	в конце	3	4
78	что все	2	4
79	в этой	3	4
80	тот же	2	4
81	во всяком	2	4
82	с этим	2	4
83	мы можем	6	4
84	в и	2	4
85	на этом	2	4
86	может не	3	4
87	еще более	2	4
88	принципиально не	2	3
89	состоит из	3	3
90	в виде	2	3
91	мы видели	4	3
92	в целом	4	3
93	и во	2	3
94	мы получим	3	3
95	только один	2	3
96	в науке	2	3
97	с одной	2	3
98	но все	2	3
99	у него	2	3
100	видели что	3	3
101	из которых	2	3
102	не можем	7	3
103	у всех	3	3
104	этих двух	2	3
105	как он	3	2
106	точку зрения	4	2
107	на две	3	2
108	теперь же	2	2
109	же мы	2	2
110	говорить об	2	2
111	на этой	3	2
112	с другом	2	2
113	уже в	3	2
114	всяком случае	2	2
115	между собой	3	2
116	в первом	3	2
117	и они	2	2
118	на их	2	2
119	ли мы	3	2
120	ее на	2	2
121	жизни мы	2	2
122	друг с	2	2
123	самый вопрос	2	2
124	и к	3	2
125	для его	2	2
126	приводит к	2	2
127	к чему	2	2
128	для нас	3	2
129	не знаем	2	2
130	о значении	2	2
131	ли оно	2	2
132	той же	2	2
133	тем же	2	2
