N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	4	40
2	не может быть	2	29
3	на самом деле	5	21
4	то же время	13	20
5	в то же	13	20
6	во всяком случае	2	16
7	в связи с	5	16
8	в настоящее время	2	13
9	по отношению к	2	12
10	в этом отношении	4	11
11	в его целом	3	10
12	в большинстве случаев	3	9
13	с другой стороны	5	9
14	как мы видели	4	8
15	для того чтобы	5	8
16	до сих пор	6	8
17	с одной стороны	4	8
18	как мы знаем	2	7
19	в свою очередь	2	7
20	может быть и	2	6
21	в данном случае	3	6
22	смысле этого слова	2	6
23	и в то	2	6
24	в том что	2	6
25	в значительной степени	2	5
26	одной стороны и	2	5
27	в отличие от	3	5
28	в конце концов	3	4
29	и до конца	8	4
30	подобно тому как	2	4
31	но и в	4	4
32	в той же	5	4
33	как и все	5	4
34	но все же	2	4
35	но в то	7	3
36	и тот же	3	3
37	в том числе	4	3
38	начала и до	7	3
39	только то что	2	3
40	с начала и	7	3
41	один и тот	3	3
42	том числе и	3	3
43	мы имеем в	2	2
44	все то что	2	2
45	и до сих	2	2
46	и прежде всего	3	2
47	вовсе не в	2	2
48	как и в	2	2
49	но даже и	2	2
50	этого романа в	2	2
51	не только в	3	2
52	в связи со	2	2
53	и в других	3	2
54	быть и не	2	2
55	в своей книге	3	2
56	дело в том	2	2
57	тех или иных	2	2
58	имеем в виду	2	2
