N	2gram	Kanaev_Sov	Vladivir
1	и в	7	116
2	и не	6	67
3	не только	4	65
4	у него	2	65
5	в этом	7	53
6	в том	4	52
7	что в	2	48
8	в конце	3	41
9	в его	2	40
10	и даже	2	36
11	не может	17	31
12	как мы	2	29
13	а в	4	27
14	но в	3	25
15	в себе	3	25
16	точки зрения	12	23
17	может быть	12	23
18	что же	5	23
19	в виде	2	22
20	так как	4	22
21	вместе с	4	21
22	прежде всего	5	20
23	для нас	3	20
24	и что	2	20
25	и потому	3	19
26	не менее	2	19
27	в дальнейшем	4	19
28	таким образом	11	19
29	тем не	2	19
30	не в	3	18
31	как и	6	18
32	в этой	3	17
33	у нас	3	17
34	а не	3	17
35	уже не	2	16
36	все же	3	16
37	было бы	3	16
38	и все	3	16
39	то же	3	15
40	и к	3	15
41	уже в	3	14
42	все эти	5	14
43	что это	2	13
44	в результате	6	13
45	жизни и	4	13
46	на этот	2	13
47	ничего не	6	12
48	в нем	3	12
49	и по	2	12
50	во всяком	2	12
51	всяком случае	2	12
52	мы должны	4	11
53	при этом	3	11
54	все это	3	11
55	в которой	2	11
56	№ с	2	11
57	такого рода	2	10
58	что все	2	10
59	еще не	3	10
60	в самом	2	10
61	отнюдь не	3	10
62	с точки	5	10
63	это не	4	9
64	мы знаем	2	9
65	в целом	4	9
66	с этим	2	9
67	как бы	4	8
68	тот же	2	8
69	из этих	2	8
70	которой он	2	8
71	как он	3	7
72	на его	2	7
73	мы видели	4	7
74	и мы	3	7
75	то и	2	7
76	но все	2	7
77	в одном	3	7
78	в таком	2	7
79	и есть	2	7
80	в нашем	2	7
81	в настоящее	2	6
82	в отличие	2	6
83	отличие от	2	6
84	настоящее время	2	6
85	что она	3	6
86	по мнению	2	6
87	и наконец	5	6
88	такой же	2	6
89	мы не	9	6
90	если мы	4	6
91	той же	2	6
92	но мы	3	5
93	вопрос о	4	5
94	с самого	3	5
95	он в	3	5
96	то ни	2	5
97	в области	3	5
98	еще более	2	5
99	в свою	2	5
100	для его	2	5
101	из них	4	5
102	не могут	2	4
103	в науке	2	4
104	не будем	2	4
105	ясно что	3	4
106	совершенно не	2	4
107	мы с	2	4
108	и во	2	4
109	когда мы	3	4
110	же это	4	4
111	мы можем	6	4
112	с одной	2	4
113	нет и	4	4
114	их в	4	4
115	знаем что	2	4
116	на этом	2	4
117	же самое	2	4
118	так сказать	2	3
119	свою очередь	2	3
120	роль в	2	3
121	самом деле	2	3
122	теперь же	2	3
123	на котором	2	3
124	необходимо отметить	2	3
125	самого начала	3	3
126	некоторое время	2	3
127	ее на	2	3
128	отличается от	3	3
129	как известно	2	3
130	что такое	2	3
131	о значении	2	3
132	быть и	2	3
133	не подлежит	3	2
134	одна из	3	2
135	или же	2	2
136	к чему	2	2
137	же мы	2	2
138	со всеми	2	2
139	говорить об	2	2
140	на этой	3	2
141	в которую	2	2
142	на их	2	2
143	это за	2	2
144	и пр	2	2
145	свою собственную	2	2
146	из которых	2	2
147	этих двух	2	2
148	не можем	7	2
149	может не	3	2
150	можно назвать	2	2
151	говорить о	2	2
152	в некоторых	2	2
