N	2gram	Trubetskoy	PoTuStor
1	может быть	9	17
2	и в	14	16
3	мы можем	2	9
4	в этом	17	9
5	и только	5	9
6	таким образом	11	9
7	прежде всего	8	9
8	и с	7	8
9	точки зрения	11	8
10	совершенно не	2	8
11	не может	22	8
12	не только	9	7
13	с точки	9	6
14	конечно не	5	6
15	самом деле	7	6
16	и к	6	6
17	для него	6	6
18	при этом	5	6
19	ни в	2	5
20	все эти	2	5
21	что такое	2	5
22	как бы	4	5
23	только для	2	5
24	еще не	3	5
25	и на	5	4
26	все это	6	4
27	на самом	6	4
28	его в	4	4
29	в его	4	4
30	но и	10	4
31	и не	19	4
32	но в	2	4
33	в этой	4	4
34	но мы	3	4
35	и наконец	2	4
36	так как	4	4
37	все что	4	4
38	только в	5	4
39	в нем	5	4
40	а потому	5	4
41	хотя бы	5	4
42	для всех	6	4
43	отнюдь не	7	4
44	и даже	2	4
45	что в	4	3
46	даже не	2	3
47	жизни и	4	3
48	и как	3	3
49	и потому	3	3
50	на этой	2	3
51	а в	5	3
52	в том	17	3
53	их в	2	3
54	и вот	2	3
55	в области	2	3
56	до сих	5	3
57	только на	2	3
58	и есть	2	3
59	во время	2	3
60	большинстве случаев	2	3
61	в большинстве	3	3
62	в этих	2	3
63	отношения к	2	3
64	то что	13	3
65	во всех	5	3
66	сих пор	5	3
67	всяком случае	6	3
68	вместе с	4	3
69	к себе	2	3
70	во всяком	9	3
71	том что	9	3
72	никогда не	5	2
73	для нас	2	2
74	есть и	2	2
75	с нею	3	2
76	не можем	2	2
77	для этого	3	2
78	и для	6	2
79	и этот	3	2
80	что это	3	2
81	и по	3	2
82	что и	3	2
83	ее в	2	2
84	было бы	5	2
85	не могут	4	2
86	сводится к	3	2
87	о том	7	2
88	то же	11	2
89	с этим	2	2
90	как и	4	2
91	что он	6	2
92	сделать это	2	2
93	так же	2	2
94	говорить о	3	2
95	в своей	5	2
96	себя и	5	2
97	из этих	3	2
98	в самом	3	2
99	знаем что	3	2
100	в начале	2	2
101	в частности	2	2
102	он не	5	2
103	у него	2	2
104	и о	2	2
105	не есть	3	2
106	путь к	4	2
107	что оно	3	2
108	мы уже	2	2
109	не будет	7	2
110	с ним	2	2
111	между собой	5	2
112	но это	2	2
