N	2gram	Ircho_Kome	VLabPisa
1	таким образом	16	32
2	в этом	18	29
3	не только	13	26
4	и в	37	26
5	и т	5	25
6	может быть	14	23
7	хотя бы	5	20
8	и не	28	20
9	т е	18	18
10	не может	9	17
11	в том	24	15
12	в его	12	15
13	этом отношении	2	14
14	в силу	2	14
15	прежде всего	7	13
16	все это	7	13
17	в частности	4	12
18	как это	5	12
19	в качестве	4	12
20	что в	11	11
21	с другой	5	11
22	из них	11	11
23	то же	14	10
24	не могут	2	10
25	но и	18	10
26	о том	21	10
27	по этому	3	10
28	к этому	11	9
29	об этом	12	9
30	т п	5	9
31	как видим	2	9
32	в своем	9	8
33	том что	22	8
34	не следует	2	8
35	на основании	3	8
36	могут быть	3	8
37	другой стороны	2	8
38	было бы	7	8
39	только в	3	8
40	вместе с	16	8
41	это не	3	7
42	из этих	2	7
43	во всех	4	7
44	по отношению	6	7
45	то что	5	7
46	отношению к	4	7
47	тому что	5	7
48	как и	10	7
49	их в	3	7
50	в нем	8	7
51	в конечном	2	7
52	главным образом	2	7
53	не было	6	7
54	говорит о	2	7
55	же в	3	7
56	а не	5	7
57	не в	7	6
58	в то	14	6
59	в себе	4	6
60	или менее	2	6
61	все же	9	6
62	том же	2	6
63	у него	10	6
64	так и	4	6
65	более или	2	6
66	приводит к	4	6
67	один из	6	6
68	и его	10	6
69	между тем	6	6
70	никогда не	5	5
71	даже в	3	5
72	сказать что	4	5
73	в одном	3	5
74	конечном счете	3	5
75	в результате	2	5
76	в пределах	3	5
77	в их	5	5
78	не является	5	5
79	одним из	2	5
80	действующих лиц	7	5
81	к тому	11	5
82	он говорит	3	5
83	как бы	7	5
84	в них	6	5
85	в целом	4	5
86	связи с	5	5
87	же время	12	5
88	и есть	3	5
89	и ее	3	4
90	только что	11	4
91	роль в	3	4
92	в виду	3	4
93	что он	15	4
94	по существу	4	4
95	с тем	6	4
96	что для	7	4
97	когда он	5	4
98	должен быть	2	4
99	отнюдь не	5	4
100	в самом	17	4
101	равно как	7	4
102	как раз	9	4
103	в ее	3	4
104	в своей	6	4
105	в связи	4	4
106	во время	8	4
107	в этой	7	4
108	из его	3	4
109	чем же	2	4
110	рассказывает о	2	4
111	с его	6	4
112	и от	3	3
113	никак не	2	3
114	например в	3	3
115	и к	4	3
116	с этим	5	3
117	мы имеем	4	3
118	так же	8	3
119	и он	5	3
120	том как	5	3
121	бы в	5	3
122	в конце	14	3
123	его в	9	3
124	и как	3	3
125	видеть в	2	3
126	если бы	18	3
127	это делает	2	3
128	как он	5	3
129	него в	3	3
130	как о	3	3
131	для того	9	3
132	его не	3	3
133	мы знаем	2	3
134	при всем	5	3
135	образом в	2	3
136	нет и	4	3
137	далеко не	3	3
138	этот вопрос	2	3
139	что у	2	3
140	она не	3	3
141	а в	12	3
142	всего лишь	2	3
143	в котором	6	3
144	точки зрения	8	3
145	в которых	7	3
146	между ними	4	3
147	человека и	2	3
148	что не	5	3
149	того чтобы	9	3
150	что и	12	3
151	и по	3	3
152	что они	3	3
153	же и	2	3
154	вовсе не	6	3
155	не о	3	2
156	если в	4	2
157	да и	3	2
158	чтобы не	3	2
159	на это	3	2
160	и потому	2	2
161	до нас	7	2
162	как например	2	2
163	сообщает о	2	2
164	с другими	2	2
165	то это	5	2
166	о чем	11	2
167	одной стороны	4	2
168	можно было	3	2
169	вплоть до	2	2
170	который по	2	2
171	в каждом	3	2
172	при всей	2	2
173	что она	10	2
174	даже не	5	2
175	в другом	2	2
176	а о	2	2
177	и даже	6	2
178	от того	2	2
179	чуть ли	2	2
180	и у	4	2
181	ли не	6	2
182	конце концов	3	2
183	а как	2	2
184	нет ни	2	2
185	бы не	3	2
186	не всегда	2	2
187	в области	3	2
188	только для	2	2
189	еще не	10	2
190	после этого	2	2
191	нет никаких	2	2
192	начинается с	2	2
193	в которой	6	2
194	не приходится	5	2
195	не по	7	2
196	в течение	3	2
197	а для	2	2
198	начнем с	2	2
199	в известной	3	2
200	что ни	7	2
201	в чем	7	2
202	сих пор	12	2
203	с одной	5	2
204	его от	5	2
205	после того	3	2
206	же самое	3	2
207	не с	2	2
208	одной из	4	2
209	что его	10	2
210	от них	2	2
211	к ним	5	2
212	том чтобы	4	2
213	но не	9	2
214	и для	7	2
215	стороны и	4	2
216	не менее	9	2
217	на него	6	2
218	но в	7	2
219	следует что	3	2
220	каждой из	4	2
221	они не	2	2
222	на то	3	2
223	он в	2	2
224	все его	2	2
225	в своих	4	2
226	в ней	7	2
227	на вопрос	5	2
228	к его	4	2
229	из себя	3	2
230	на этом	3	2
231	к сожалению	2	2
232	из которых	7	2
233	в образе	5	2
234	он и	5	2
235	не столько	3	2
236	что мы	4	2
237	представить себе	2	2
238	всяком случае	3	2
239	человека в	4	2
240	а затем	4	2
241	о его	4	2
242	числе и	2	2
243	и дальше	2	2
244	говорить о	6	2
245	этому вопросу	2	2
246	было в	2	2
247	целого ряда	2	2
248	и может	2	2
249	по его	2	2
250	е в	2	2
251	он не	11	2
252	и сам	11	2
253	должна быть	2	2
254	который в	3	2
255	хотя и	6	2
256	том числе	2	2
257	во всяком	3	2
258	до сих	12	2
259	того как	5	2
