N	3gram	Tiupa_Narr	DiskursI
1	в том что	8	28
2	в отличие от	5	26
3	по отношению к	6	17
4	с одной стороны	7	14
5	не может быть	5	12
6	в данном случае	4	12
7	той или иной	4	10
8	то же время	3	10
9	о том что	6	9
10	в то же	3	8
11	в этом отношении	3	8
12	состоит в том	3	8
13	тогда как в	2	7
14	не сводится к	2	6
15	в основе своей	4	6
16	с точки зрения	2	6
17	в конечном счете	2	6
18	к тому же	4	6
19	подобно тому как	2	5
20	в значительной степени	2	5
21	не только в	2	5
22	присутствия в мире	2	5
23	с другой стороны	4	5
24	в свою очередь	3	5
25	тем не менее	3	4
26	можно сказать что	4	4
27	со стороны адресата	2	4
28	по сути дела	2	4
29	то есть в	2	3
30	более или менее	2	3
31	при всей своей	2	3
32	высказывания состоит в	3	3
33	мы имеем дело	2	3
34	в том числе	6	3
35	а не в	2	3
36	том числе и	4	3
37	на первый взгляд	2	3
38	того или иного	2	3
39	а по своей	2	2
40	то ни было	3	2
41	бы то ни	3	2
42	сами по себе	2	2
43	свидетель и судия	2	2
44	жанры как формы	2	2
45	речь идет о	2	2
46	событием не является	2	2
47	сказания или анекдота	2	2
48	рассказывания а не	2	2
49	так и не	2	2
50	значении этого слова	2	2
51	ни в мире	3	2
52	и в форме	2	2
53	в его событийной	2	2
54	существует благодаря связи	2	2
55	как к содержанию	2	2
56	нарративного высказывания состоит	2	2
57	все же не	4	2
58	и представляет собой	2	2
59	вольно или невольно	3	2
60	индивидуального речевого замысла	2	2
61	могло произойти по-другому	2	2
62	представляет собой не	2	2
63	благодаря связи с	2	2
