N	3gram	Tiupa_Hudo	Problema
1	тем не менее	3	56
2	в том что	8	37
3	в связи с	3	29
4	той или иной	5	26
5	с точки зрения	3	25
6	с другой стороны	6	25
7	в таком случае	2	23
8	сама по себе	2	21
9	в этом смысле	3	19
10	для того чтобы	5	17
11	в то же	7	17
12	того или иного	4	13
13	не может быть	4	12
14	можно сказать что	3	12
15	так или иначе	4	12
16	бы то ни	2	11
17	с одной стороны	3	11
18	тех или иных	2	11
19	более или менее	6	10
20	в той или	2	10
21	может быть и	2	9
22	тот или иной	3	7
23	и то же	3	6
24	то ни было	2	6
25	в самом деле	2	6
26	имеем в виду	3	5
27	и прежде всего	2	5
28	том что он	2	5
29	одно и то	3	5
30	в том числе	3	5
31	в коем случае	2	4
32	этой точки зрения	2	4
33	а с другой	2	4
34	отношение знака к	3	4
35	ту или иную	2	4
36	ни в коем	2	4
37	подобно тому как	3	4
38	том числе и	2	4
39	мы имеем дело	2	4
40	в русской литературе	2	3
41	к тому что	2	3
42	с этой точки	2	3
43	и в то	2	3
44	одного и того	3	3
45	в отличие от	7	3
46	в известном смысле	2	3
47	и того же	3	3
48	мы имеем в	3	2
49	в войне и	2	2
50	по отношению к	10	2
51	в основе своей	2	2
52	и в самом	3	2
53	в свою очередь	2	2
54	в том и	2	2
55	во всей его	2	2
56	в виду не	3	2
57	войне и мире	2	2
